;v0.3.135e1_chain8_Inc-CL_Ligne_8Summ
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;1540;
Total size of {Accept Request} received (max) ;1540;
Global Max size of {Confirm context} received (avg) ;32.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;32;
Global Max size of {Confirm context} received (max) ;32;
Nb of {Confirm context} received (avg) ;553.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;553;
Nb of {Confirm context} received (max) ;553;
Total size of {Confirm context} received (avg) ;8680.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;8680;
Total size of {Confirm context} received (max) ;8680;
Global Max size of {Deny} received (avg) ;37.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;37;
Global Max size of {Deny} received (max) ;37;
Nb of {Deny} received (avg) ;260.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;260;
Nb of {Deny} received (max) ;260;
Total size of {Deny} received (avg) ;5100.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;5100;
Total size of {Deny} received (max) ;5100;
Global Max size of {Propose} received (avg) ;44.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;44;
Global Max size of {Propose} received (max) ;44;
Nb of {Propose} received (avg) ;430.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;430;
Nb of {Propose} received (max) ;430;
Total size of {Propose} received (avg) ;8172.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;8172;
Total size of {Propose} received (max) ;8172;
Global Max size of {Acknowledge confirmation} received (avg) ;44.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;44;
Global Max size of {Acknowledge confirmation} received (max) ;44;
Nb of {Acknowledge confirmation} received (avg) ;470.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;470;
Nb of {Acknowledge confirmation} received (max) ;470;
Total size of {Acknowledge confirmation} received (avg) ;9083.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;9083;
Total size of {Acknowledge confirmation} received (max) ;9083;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;6.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;6;
Nb of {Withdraw incomplete} received (max) ;6;
Total size of {Withdraw incomplete} received (avg) ;13.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;13;
Total size of {Withdraw incomplete} received (max) ;13;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;7;
Global Max size of {Ask other hypothesis} received (max) ;7;
Nb of {Ask other hypothesis} received (avg) ;137.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;137;
Nb of {Ask other hypothesis} received (max) ;137;
Total size of {Ask other hypothesis} received (avg) ;934.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;934;
Total size of {Ask other hypothesis} received (max) ;934;
Global Max size of {Accept} received (avg) ;44.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;44;
Global Max size of {Accept} received (max) ;44;
Nb of {Accept} received (avg) ;154.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;154;
Nb of {Accept} received (max) ;154;
Total size of {Accept} received (avg) ;3504.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;3504;
Total size of {Accept} received (max) ;3504;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;308.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;308;
Nb of {End of local conversation} received (max) ;308;
Total size of {End of local conversation} received (avg) ;3080.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;3080;
Total size of {End of local conversation} received (max) ;3080;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
