;v0.3.1395e1_chain8-2_Inc-CL_Clique_2All
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;170.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;170;
Sum of nb of solve for external context (max) ;170;
Sum of total size of solve for external context (avg) ;1607.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;1607;
Sum of total size of solve for external context (max) ;1607;
Sum of max size of solve for external context (avg) ;55.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;55;
Sum of max size of solve for external context (max) ;55;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;85.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;85.0;
Average of nb of solve for external context (max) ;85.0;
Average of total size of solve for external context (avg) ;803.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;803.5;
Average of total size of solve for external context (max) ;803.5;
Average of max size of solve for external context (avg) ;27.5;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;27.5;
Average of max size of solve for external context (max) ;27.5;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;9.0;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;9.0;
Standard deviation of nb of solve for external context (max) ;9.0;
Standard deviation of total size of solve for external context (avg) ;1.5;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1.5;
Standard deviation of total size of solve for external context (max) ;1.5;
Standard deviation of max size of solve for external context (avg) ;6.5;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;6.5;
Standard deviation of max size of solve for external context (max) ;6.5;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;110.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;110;
Product of nb of solve for covered manif. (max) ;110;
Product of total size of solve for covered manif. (avg) ;19890.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;19890;
Product of total size of solve for covered manif. (max) ;19890;
Product of max size of solve for covered manif. (avg) ;416.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;416;
Product of max size of solve for covered manif. (max) ;416;
Product of min size of solve for covered manif. (avg) ;24.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;24;
Product of min size of solve for covered manif. (max) ;24;
Max of nb of solve for covered manif. (avg) ;11.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;11;
Max of nb of solve for covered manif. (max) ;11;
Max of total size of solve for covered manif. (avg) ;170.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;170;
Max of total size of solve for covered manif. (max) ;170;
Max of max size of solve for covered manif. (avg) ;26.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;26;
Max of max size of solve for covered manif. (max) ;26;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;10.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;10;
Min of nb of solve for covered manif. (max) ;10;
