;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;116.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;116;
Sum of nb of solve for extended hyp (max) ;116;
Sum of total size of solve for extended hyp (avg) ;126576.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;126576;
Sum of total size of solve for extended hyp (max) ;126576;
Sum of max size of solve for extended hyp (avg) ;15518.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;15518;
Sum of max size of solve for extended hyp (max) ;15518;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;14.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;14.5;
Average of nb of solve for extended hyp (max) ;14.5;
Average of total size of solve for extended hyp (avg) ;15822.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;15822.0;
Average of total size of solve for extended hyp (max) ;15822.0;
Average of max size of solve for extended hyp (avg) ;1939.75;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;1939.75;
Average of max size of solve for extended hyp (max) ;1939.75;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;5.545268253204709;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;5.545268253204709;
Standard deviation of nb of solve for extended hyp (max) ;5.545268253204709;
Standard deviation of total size of solve for extended hyp (avg) ;12346.14483350977;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;12346.14483350977;
Standard deviation of total size of solve for extended hyp (max) ;12346.14483350977;
Standard deviation of max size of solve for extended hyp (avg) ;1066.4699655874047;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;1066.4699655874047;
Standard deviation of max size of solve for extended hyp (max) ;1066.4699655874047;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;4.574669438864448E16;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;45746694388644480;
Product of nb of solve for own context (max) ;45746694388644480;
Product of total size of solve for own context (avg) ;1.26301940710297062E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1263019407102970688;
Product of total size of solve for own context (max) ;1263019407102970688;
Product of max size of solve for own context (avg) ;6.68427954523758E16;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;66842795452375800;
Product of max size of solve for own context (max) ;66842795452375800;
Product of min size of solve for own context (avg) ;131072.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;131072;
Product of min size of solve for own context (max) ;131072;
Max of nb of solve for own context (avg) ;561.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;561;
Max of nb of solve for own context (max) ;561;
Max of total size of solve for own context (avg) ;19717.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;19717;
Max of total size of solve for own context (max) ;19717;
Max of max size of solve for own context (avg) ;286.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;286;
Max of max size of solve for own context (max) ;286;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;21.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;21;
Min of nb of solve for own context (max) ;21;
Min of total size of solve for own context (avg) ;403.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;403;
Min of total size of solve for own context (max) ;403;
Min of max size of solve for own context (avg) ;51.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;51;
Min of max size of solve for own context (max) ;51;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1459.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1459;
Sum of nb of solve for own context (max) ;1459;
Sum of total size of solve for own context (avg) ;58382.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;58382;
Sum of total size of solve for own context (max) ;58382;
Sum of max size of solve for own context (avg) ;1159.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;1159;
Sum of max size of solve for own context (max) ;1159;
Sum of min size of solve for own context (avg) ;36.0;
