;v0.3.12e10_exEcai-3ag_Inc-CL_Ligne_3Summ
Nb of {Request} sent (avg) ;3.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;3;
Nb of {Request} sent (max) ;3;
Total size of {Request} sent (avg) ;71.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;71;
Total size of {Request} sent (max) ;71;
Global Max size of {Propose} sent (avg) ;61.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;61;
Global Max size of {Propose} sent (max) ;61;
Nb of {Propose} sent (avg) ;13.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;13;
Nb of {Propose} sent (max) ;13;
Total size of {Propose} sent (avg) ;349.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;349;
Total size of {Propose} sent (max) ;349;
Global Max size of {Acknowledge confirmation} sent (avg) ;34.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;34;
Global Max size of {Acknowledge confirmation} sent (max) ;34;
Nb of {Acknowledge confirmation} sent (avg) ;11.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;11;
Nb of {Acknowledge confirmation} sent (max) ;11;
Total size of {Acknowledge confirmation} sent (avg) ;228.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;228;
Total size of {Acknowledge confirmation} sent (max) ;228;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;9.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;9;
Nb of {Acknowledge} sent (max) ;9;
Total size of {Acknowledge} sent (avg) ;18.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;18;
Total size of {Acknowledge} sent (max) ;18;
Global Max size of {Confirm context} sent (avg) ;45.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;45;
Global Max size of {Confirm context} sent (max) ;45;
Nb of {Confirm context} sent (avg) ;12.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;12;
Nb of {Confirm context} sent (max) ;12;
Total size of {Confirm context} sent (avg) ;225.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;225;
Total size of {Confirm context} sent (max) ;225;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;7.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;7;
Nb of {Completeness counter-example} sent (max) ;7;
Total size of {Completeness counter-example} sent (avg) ;70.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;70;
Total size of {Completeness counter-example} sent (max) ;70;
Global Max size of {Check Context} sent (avg) ;29.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;29;
Global Max size of {Check Context} sent (max) ;29;
Nb of {Check Context} sent (avg) ;3.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;3;
Nb of {Check Context} sent (max) ;3;
Total size of {Check Context} sent (avg) ;57.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;57;
Total size of {Check Context} sent (max) ;57;
Global Max size of {Accept} sent (avg) ;51.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;51;
Global Max size of {Accept} sent (max) ;51;
Nb of {Accept} sent (avg) ;4.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;4;
Nb of {Accept} sent (max) ;4;
Total size of {Accept} sent (avg) ;129.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;129;
Total size of {Accept} sent (max) ;129;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;8.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;8;
Nb of {End of local conversation} sent (max) ;8;
Total size of {End of local conversation} sent (avg) ;80.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;80;
Total size of {End of local conversation} sent (max) ;80;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;4.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;4;
Nb of {Accept Request} sent (max) ;4;
Total size of {Accept Request} sent (avg) ;40.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;40;
Total size of {Accept Request} sent (max) ;40;
Global Max size of {Deny} sent (avg) ;32.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;32;
Global Max size of {Deny} sent (max) ;32;
Nb of {Deny} sent (avg) ;5.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;5;
Nb of {Deny} sent (max) ;5;
Total size of {Deny} sent (avg) ;104.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;104;
Total size of {Deny} sent (max) ;104;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
