;v0.3.1395e2_exEcai-3ag_ECAI-CL_Clique_3All
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for extended hyp (avg) ;6.599663291074443;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;6.599663291074443;
Standard deviation of total size of solve for extended hyp (max) ;6.599663291074443;
Standard deviation of max size of solve for extended hyp (avg) ;2.0548046676563256;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;2.0548046676563256;
Standard deviation of max size of solve for extended hyp (max) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (avg) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (max) ;2.0548046676563256;
Product of nb of solve for own context (avg) ;476.0;
Product of nb of solve for own context (stddev) ;84.0;
Product of nb of solve for own context (min) ;392;
Product of nb of solve for own context (max) ;560;
Product of total size of solve for own context (avg) ;714928.5;
Product of total size of solve for own context (stddev) ;102316.5;
Product of total size of solve for own context (min) ;612612;
Product of total size of solve for own context (max) ;817245;
Product of max size of solve for own context (avg) ;9324.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;9324;
Product of max size of solve for own context (max) ;9324;
Product of min size of solve for own context (avg) ;64.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;64;
Product of min size of solve for own context (max) ;64;
Max of nb of solve for own context (avg) ;14.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;14;
Max of nb of solve for own context (max) ;14;
Max of total size of solve for own context (avg) ;143.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;143;
Max of total size of solve for own context (max) ;143;
Max of max size of solve for own context (avg) ;37.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;37;
Max of max size of solve for own context (max) ;37;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;4.5;
Min of nb of solve for own context (stddev) ;0.5;
Min of nb of solve for own context (min) ;4;
Min of nb of solve for own context (max) ;5;
Min of total size of solve for own context (avg) ;40.5;
Min of total size of solve for own context (stddev) ;4.5;
Min of total size of solve for own context (min) ;36;
Min of total size of solve for own context (max) ;45;
Min of max size of solve for own context (avg) ;14.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;14;
Min of max size of solve for own context (max) ;14;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;26.0;
Sum of nb of solve for own context (stddev) ;1.0;
Sum of nb of solve for own context (min) ;25;
Sum of nb of solve for own context (max) ;27;
Sum of total size of solve for own context (avg) ;306.5;
Sum of total size of solve for own context (stddev) ;8.5;
Sum of total size of solve for own context (min) ;298;
Sum of total size of solve for own context (max) ;315;
Sum of max size of solve for own context (avg) ;69.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;69;
Sum of max size of solve for own context (max) ;69;
Sum of min size of solve for own context (avg) ;12.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;12;
Sum of min size of solve for own context (max) ;12;
Average of nb of solve for own context (avg) ;8.666666666666668;
Average of nb of solve for own context (stddev) ;0.33333333333333304;
Average of nb of solve for own context (min) ;8.333333333333334;
Average of nb of solve for own context (max) ;9.0;
Average of total size of solve for own context (avg) ;102.16666666666666;
Average of total size of solve for own context (stddev) ;2.8333333333333357;
Average of total size of solve for own context (min) ;99.33333333333333;
Average of total size of solve for own context (max) ;105.0;
Average of max size of solve for own context (avg) ;23.0;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;23.0;
Average of max size of solve for own context (max) ;23.0;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;3.9657962083830602;
Standard deviation of nb of solve for own context (stddev) ;0.2241388216091187;
Standard deviation of nb of solve for own context (min) ;3.7416573867739413;
Standard deviation of nb of solve for own context (max) ;4.189935029992179;
Standard deviation of total size of solve for own context (avg) ;44.38450986446025;
Standard deviation of total size of solve for own context (stddev) ;1.458216445779584;
Standard deviation of total size of solve for own context (min) ;42.926293418680665;
Standard deviation of total size of solve for own context (max) ;45.84272631023983;
Standard deviation of max size of solve for own context (avg) ;10.03327796219494;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;10.03327796219494;
