;v0.3.135e1_chain8_Inc_Ligne_8Summ
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;6.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;6;
Nb of {Withdraw incomplete} received (max) ;6;
Total size of {Withdraw incomplete} received (avg) ;13.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;13;
Total size of {Withdraw incomplete} received (max) ;13;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;7;
Global Max size of {Ask other hypothesis} received (max) ;7;
Nb of {Ask other hypothesis} received (avg) ;56.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;56;
Nb of {Ask other hypothesis} received (max) ;56;
Total size of {Ask other hypothesis} received (avg) ;373.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;373;
Total size of {Ask other hypothesis} received (max) ;373;
Global Max size of {Accept} received (avg) ;121.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;121;
Global Max size of {Accept} received (max) ;121;
Nb of {Accept} received (avg) ;98.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;98;
Nb of {Accept} received (max) ;98;
Total size of {Accept} received (avg) ;6345.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;6345;
Total size of {Accept} received (max) ;6345;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;196.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;196;
Nb of {End of local conversation} received (max) ;196;
Total size of {End of local conversation} received (avg) ;1960.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;1960;
Total size of {End of local conversation} received (max) ;1960;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;98.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;98;
Nb of {Request} received (max) ;98;
Total size of {Request} received (avg) ;1764.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;1764;
Total size of {Request} received (max) ;1764;
Global Max size of {Argue} received (avg) ;14.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;14;
Global Max size of {Argue} received (max) ;14;
Nb of {Argue} received (avg) ;104.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;104;
Nb of {Argue} received (max) ;104;
Total size of {Argue} received (avg) ;1430.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;1430;
Total size of {Argue} received (max) ;1430;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;246.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;246;
Nb of {Acknowledge} received (max) ;246;
Total size of {Acknowledge} received (avg) ;492.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;492;
Total size of {Acknowledge} received (max) ;492;
Global Max size of {Check Context} received (avg) ;77.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;77;
Global Max size of {Check Context} received (max) ;77;
Nb of {Check Context} received (avg) ;208.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;208;
Nb of {Check Context} received (max) ;208;
Total size of {Check Context} received (avg) ;2031.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;2031;
Total size of {Check Context} received (max) ;2031;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;7;
