;v0.3.135e1_chain8_ECAI-CL_Ligne_8All
Standard deviation of max size of {withdraw incomplete} received (max) ;0.9921567416492215;
Standard deviation of min size of {withdraw incomplete} received (avg) ;0.9921567416492215;
Standard deviation of min size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of min size of {withdraw incomplete} received (min) ;0.9921567416492215;
Standard deviation of min size of {withdraw incomplete} received (max) ;0.9921567416492215;
Product of nb of {ask other hypothesis} received (avg) ;3.800979E9;
Product of nb of {ask other hypothesis} received (stddev) ;0.0;
Product of nb of {ask other hypothesis} received (min) ;3800979000;
Product of nb of {ask other hypothesis} received (max) ;3800979000;
Product of total size of {ask other hypothesis} received (avg) ;1.782289062918E16;
Product of total size of {ask other hypothesis} received (stddev) ;0.0;
Product of total size of {ask other hypothesis} received (min) ;17822890629180000;
Product of total size of {ask other hypothesis} received (max) ;17822890629180000;
Product of max size of {ask other hypothesis} received (avg) ;5764801.0;
Product of max size of {ask other hypothesis} received (stddev) ;0.0;
Product of max size of {ask other hypothesis} received (min) ;5764801;
Product of max size of {ask other hypothesis} received (max) ;5764801;
Product of min size of {ask other hypothesis} received (avg) ;10976.0;
Product of min size of {ask other hypothesis} received (stddev) ;0.0;
Product of min size of {ask other hypothesis} received (min) ;10976;
Product of min size of {ask other hypothesis} received (max) ;10976;
Max of nb of {ask other hypothesis} received (avg) ;26.0;
Max of nb of {ask other hypothesis} received (stddev) ;0.0;
Max of nb of {ask other hypothesis} received (min) ;26;
Max of nb of {ask other hypothesis} received (max) ;26;
Max of total size of {ask other hypothesis} received (avg) ;177.0;
Max of total size of {ask other hypothesis} received (stddev) ;0.0;
Max of total size of {ask other hypothesis} received (min) ;177;
Max of total size of {ask other hypothesis} received (max) ;177;
Max of max size of {ask other hypothesis} received (avg) ;7.0;
Max of max size of {ask other hypothesis} received (stddev) ;0.0;
Max of max size of {ask other hypothesis} received (min) ;7;
Max of max size of {ask other hypothesis} received (max) ;7;
Max of min size of {ask other hypothesis} received (avg) ;7.0;
Max of min size of {ask other hypothesis} received (stddev) ;0.0;
Max of min size of {ask other hypothesis} received (min) ;7;
Max of min size of {ask other hypothesis} received (max) ;7;
Min of nb of {ask other hypothesis} received (avg) ;10.0;
Min of nb of {ask other hypothesis} received (stddev) ;0.0;
Min of nb of {ask other hypothesis} received (min) ;10;
Min of nb of {ask other hypothesis} received (max) ;10;
Min of total size of {ask other hypothesis} received (avg) ;70.0;
Min of total size of {ask other hypothesis} received (stddev) ;0.0;
Min of total size of {ask other hypothesis} received (min) ;70;
Min of total size of {ask other hypothesis} received (max) ;70;
Min of max size of {ask other hypothesis} received (avg) ;7.0;
Min of max size of {ask other hypothesis} received (stddev) ;0.0;
Min of max size of {ask other hypothesis} received (min) ;7;
Min of max size of {ask other hypothesis} received (max) ;7;
Min of min size of {ask other hypothesis} received (avg) ;2.0;
Min of min size of {ask other hypothesis} received (stddev) ;0.0;
Min of min size of {ask other hypothesis} received (min) ;2;
Min of min size of {ask other hypothesis} received (max) ;2;
Sum of nb of {ask other hypothesis} received (avg) ;131.0;
Sum of nb of {ask other hypothesis} received (stddev) ;0.0;
Sum of nb of {ask other hypothesis} received (min) ;131;
Sum of nb of {ask other hypothesis} received (max) ;131;
Sum of total size of {ask other hypothesis} received (avg) ;892.0;
Sum of total size of {ask other hypothesis} received (stddev) ;0.0;
Sum of total size of {ask other hypothesis} received (min) ;892;
Sum of total size of {ask other hypothesis} received (max) ;892;
Sum of max size of {ask other hypothesis} received (avg) ;56.0;
Sum of max size of {ask other hypothesis} received (stddev) ;0.0;
Sum of max size of {ask other hypothesis} received (min) ;56;
Sum of max size of {ask other hypothesis} received (max) ;56;
Sum of min size of {ask other hypothesis} received (avg) ;31.0;
Sum of min size of {ask other hypothesis} received (stddev) ;0.0;
Sum of min size of {ask other hypothesis} received (min) ;31;
Sum of min size of {ask other hypothesis} received (max) ;31;
Average of nb of {ask other hypothesis} received (avg) ;16.375;
Average of nb of {ask other hypothesis} received (stddev) ;0.0;
Average of nb of {ask other hypothesis} received (min) ;16.375;
Average of nb of {ask other hypothesis} received (max) ;16.375;
Average of total size of {ask other hypothesis} received (avg) ;111.5;
Average of total size of {ask other hypothesis} received (stddev) ;0.0;
Average of total size of {ask other hypothesis} received (min) ;111.5;
Average of total size of {ask other hypothesis} received (max) ;111.5;
Average of max size of {ask other hypothesis} received (avg) ;7.0;
Average of max size of {ask other hypothesis} received (stddev) ;0.0;
Average of max size of {ask other hypothesis} received (min) ;7.0;
Average of max size of {ask other hypothesis} received (max) ;7.0;
Average of min size of {ask other hypothesis} received (avg) ;3.875;
Average of min size of {ask other hypothesis} received (stddev) ;0.0;
Average of min size of {ask other hypothesis} received (min) ;3.875;
Average of min size of {ask other hypothesis} received (max) ;3.875;
Standard deviation of nb of {ask other hypothesis} received (avg) ;4.688749833377763;
Standard deviation of nb of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of nb of {ask other hypothesis} received (min) ;4.688749833377763;
Standard deviation of nb of {ask other hypothesis} received (max) ;4.688749833377763;
Standard deviation of total size of {ask other hypothesis} received (avg) ;31.3966558728792;
Standard deviation of total size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of total size of {ask other hypothesis} received (min) ;31.3966558728792;
Standard deviation of total size of {ask other hypothesis} received (max) ;31.3966558728792;
Standard deviation of max size of {ask other hypothesis} received (avg) ;0.0;
Standard deviation of max size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of max size of {ask other hypothesis} received (min) ;0.0;
Standard deviation of max size of {ask other hypothesis} received (max) ;0;
Standard deviation of min size of {ask other hypothesis} received (avg) ;2.4206145913796355;
Standard deviation of min size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of min size of {ask other hypothesis} received (min) ;2.4206145913796355;
Standard deviation of min size of {ask other hypothesis} received (max) ;2.4206145913796355;
Product of nb of {accept} received (avg) ;1.038235968E10;
Product of nb of {accept} received (stddev) ;0.0;
Product of nb of {accept} received (min) ;10382359680;
Product of nb of {accept} received (max) ;10382359680;
Product of total size of {accept} received (avg) ;-5.7380904934646671E18;
Product of total size of {accept} received (stddev) ;0.0;
Product of total size of {accept} received (min) ;-5738090493464666752;
Product of total size of {accept} received (max) ;0;
Product of max size of {accept} received (avg) ;1.288086624E12;
Product of max size of {accept} received (stddev) ;0.0;
Product of max size of {accept} received (min) ;1288086624000;
Product of max size of {accept} received (max) ;1288086624000;
Product of min size of {accept} received (avg) ;3.84288255E9;
Product of min size of {accept} received (stddev) ;0.0;
Product of min size of {accept} received (min) ;3842882550;
Product of min size of {accept} received (max) ;3842882550;
Max of nb of {accept} received (avg) ;28.0;
Max of nb of {accept} received (stddev) ;0.0;
Max of nb of {accept} received (min) ;28;
Max of nb of {accept} received (max) ;28;
Max of total size of {accept} received (avg) ;626.0;
Max of total size of {accept} received (stddev) ;0.0;
Max of total size of {accept} received (min) ;626;
Max of total size of {accept} received (max) ;626;
Max of max size of {accept} received (avg) ;44.0;
Max of max size of {accept} received (stddev) ;0.0;
Max of max size of {accept} received (min) ;44;
Max of max size of {accept} received (max) ;44;
Max of min size of {accept} received (avg) ;25.0;
Max of min size of {accept} received (stddev) ;0.0;
Max of min size of {accept} received (min) ;25;
Max of min size of {accept} received (max) ;25;
Min of nb of {accept} received (avg) ;11.0;
Min of nb of {accept} received (stddev) ;0.0;
Min of nb of {accept} received (min) ;11;
Min of nb of {accept} received (max) ;11;
Min of total size of {accept} received (avg) ;287.0;
Min of total size of {accept} received (stddev) ;0.0;
Min of total size of {accept} received (min) ;287;
Min of total size of {accept} received (max) ;287;
Min of max size of {accept} received (avg) ;18.0;
Min of max size of {accept} received (stddev) ;0.0;
Min of max size of {accept} received (min) ;18;
Min of max size of {accept} received (max) ;18;
Min of min size of {accept} received (avg) ;13.0;
Min of min size of {accept} received (stddev) ;0.0;
Min of min size of {accept} received (min) ;13;
Min of min size of {accept} received (max) ;13;
Sum of nb of {accept} received (avg) ;148.0;
Sum of nb of {accept} received (stddev) ;0.0;
Sum of nb of {accept} received (min) ;148;
Sum of nb of {accept} received (max) ;148;
Sum of total size of {accept} received (avg) ;3424.0;
Sum of total size of {accept} received (stddev) ;0.0;
Sum of total size of {accept} received (min) ;3424;
Sum of total size of {accept} received (max) ;3424;
Sum of max size of {accept} received (avg) ;270.0;
Sum of max size of {accept} received (stddev) ;0.0;
Sum of max size of {accept} received (min) ;270;
Sum of max size of {accept} received (max) ;270;
Sum of min size of {accept} received (avg) ;131.0;
Sum of min size of {accept} received (stddev) ;0.0;
Sum of min size of {accept} received (min) ;131;
Sum of min size of {accept} received (max) ;131;
Average of nb of {accept} received (avg) ;18.5;
Average of nb of {accept} received (stddev) ;0.0;
Average of nb of {accept} received (min) ;18.5;
Average of nb of {accept} received (max) ;18.5;
Average of total size of {accept} received (avg) ;428.0;
Average of total size of {accept} received (stddev) ;0.0;
Average of total size of {accept} received (min) ;428.0;
Average of total size of {accept} received (max) ;428.0;
Average of max size of {accept} received (avg) ;33.75;
Average of max size of {accept} received (stddev) ;0.0;
Average of max size of {accept} received (min) ;33.75;
Average of max size of {accept} received (max) ;33.75;
Average of min size of {accept} received (avg) ;16.375;
Average of min size of {accept} received (stddev) ;0.0;
Average of min size of {accept} received (min) ;16.375;
Average of min size of {accept} received (max) ;16.375;
Standard deviation of nb of {accept} received (avg) ;4.924428900898052;
Standard deviation of nb of {accept} received (stddev) ;0.0;
Standard deviation of nb of {accept} received (min) ;4.924428900898052;
Standard deviation of nb of {accept} received (max) ;4.924428900898052;
Standard deviation of total size of {accept} received (avg) ;127.93650769033833;
Standard deviation of total size of {accept} received (stddev) ;0.0;
Standard deviation of total size of {accept} received (min) ;127.93650769033833;
Standard deviation of total size of {accept} received (max) ;127.93650769033833;
Standard deviation of max size of {accept} received (avg) ;8.073877630977572;
Standard deviation of max size of {accept} received (stddev) ;0.0;
Standard deviation of max size of {accept} received (min) ;8.073877630977572;
Standard deviation of max size of {accept} received (max) ;8.073877630977572;
Standard deviation of min size of {accept} received (avg) ;4.715334028465004;
Standard deviation of min size of {accept} received (stddev) ;0.0;
Standard deviation of min size of {accept} received (min) ;4.715334028465004;
Standard deviation of min size of {accept} received (max) ;4.715334028465004;
Product of nb of {end of local conversation} received (avg) ;2.77586483328E12;
Product of nb of {end of local conversation} received (stddev) ;0.0;
Product of nb of {end of local conversation} received (min) ;2775864833280;
Product of nb of {end of local conversation} received (max) ;2775864833280;
Product of total size of {end of local conversation} received (avg) ;8.8532222235672576E17;
Product of total size of {end of local conversation} received (stddev) ;0.0;
Product of total size of {end of local conversation} received (min) ;885322222356725760;
Product of total size of {end of local conversation} received (max) ;885322222356725760;
Product of max size of {end of local conversation} received (avg) ;1.0E8;
Product of max size of {end of local conversation} received (stddev) ;0.0;
Product of max size of {end of local conversation} received (min) ;100000000;
Product of max size of {end of local conversation} received (max) ;100000000;
Product of min size of {end of local conversation} received (avg) ;1.0E8;
Product of min size of {end of local conversation} received (stddev) ;0.0;
Product of min size of {end of local conversation} received (min) ;100000000;
Product of min size of {end of local conversation} received (max) ;100000000;
Max of nb of {end of local conversation} received (avg) ;56.0;
Max of nb of {end of local conversation} received (stddev) ;0.0;
Max of nb of {end of local conversation} received (min) ;56;
Max of nb of {end of local conversation} received (max) ;56;
Max of total size of {end of local conversation} received (avg) ;560.0;
Max of total size of {end of local conversation} received (stddev) ;0.0;
Max of total size of {end of local conversation} received (min) ;560;
Max of total size of {end of local conversation} received (max) ;560;
Max of max size of {end of local conversation} received (avg) ;10.0;
Max of max size of {end of local conversation} received (stddev) ;0.0;
Max of max size of {end of local conversation} received (min) ;10;
Max of max size of {end of local conversation} received (max) ;10;
Max of min size of {end of local conversation} received (avg) ;10.0;
Max of min size of {end of local conversation} received (stddev) ;0.0;
Max of min size of {end of local conversation} received (min) ;10;
Max of min size of {end of local conversation} received (max) ;10;
Min of nb of {end of local conversation} received (avg) ;23.0;
Min of nb of {end of local conversation} received (stddev) ;0.0;
Min of nb of {end of local conversation} received (min) ;23;
Min of nb of {end of local conversation} received (max) ;23;
Min of total size of {end of local conversation} received (avg) ;230.0;
Min of total size of {end of local conversation} received (stddev) ;0.0;
Min of total size of {end of local conversation} received (min) ;230;
Min of total size of {end of local conversation} received (max) ;230;
Min of max size of {end of local conversation} received (avg) ;10.0;
Min of max size of {end of local conversation} received (stddev) ;0.0;
Min of max size of {end of local conversation} received (min) ;10;
Min of max size of {end of local conversation} received (max) ;10;
Min of min size of {end of local conversation} received (avg) ;10.0;
Min of min size of {end of local conversation} received (stddev) ;0.0;
Min of min size of {end of local conversation} received (min) ;10;
Min of min size of {end of local conversation} received (max) ;10;
Sum of nb of {end of local conversation} received (avg) ;296.0;
Sum of nb of {end of local conversation} received (stddev) ;0.0;
Sum of nb of {end of local conversation} received (min) ;296;
Sum of nb of {end of local conversation} received (max) ;296;
Sum of total size of {end of local conversation} received (avg) ;2960.0;
Sum of total size of {end of local conversation} received (stddev) ;0.0;
Sum of total size of {end of local conversation} received (min) ;2960;
Sum of total size of {end of local conversation} received (max) ;2960;
Sum of max size of {end of local conversation} received (avg) ;80.0;
Sum of max size of {end of local conversation} received (stddev) ;0.0;
Sum of max size of {end of local conversation} received (min) ;80;
Sum of max size of {end of local conversation} received (max) ;80;
Sum of min size of {end of local conversation} received (avg) ;80.0;
Sum of min size of {end of local conversation} received (stddev) ;0.0;
Sum of min size of {end of local conversation} received (min) ;80;
Sum of min size of {end of local conversation} received (max) ;80;
Average of nb of {end of local conversation} received (avg) ;37.0;
Average of nb of {end of local conversation} received (stddev) ;0.0;
Average of nb of {end of local conversation} received (min) ;37.0;
Average of nb of {end of local conversation} received (max) ;37.0;
Average of total size of {end of local conversation} received (avg) ;370.0;
Average of total size of {end of local conversation} received (stddev) ;0.0;
Average of total size of {end of local conversation} received (min) ;370.0;
Average of total size of {end of local conversation} received (max) ;370.0;
Average of max size of {end of local conversation} received (avg) ;10.0;
Average of max size of {end of local conversation} received (stddev) ;0.0;
Average of max size of {end of local conversation} received (min) ;10.0;
Average of max size of {end of local conversation} received (max) ;10.0;
Average of min size of {end of local conversation} received (avg) ;10.0;
Average of min size of {end of local conversation} received (stddev) ;0.0;
Average of min size of {end of local conversation} received (min) ;10.0;
Average of min size of {end of local conversation} received (max) ;10.0;
Standard deviation of nb of {end of local conversation} received (avg) ;9.1104335791443;
Standard deviation of nb of {end of local conversation} received (stddev) ;0.0;
Standard deviation of nb of {end of local conversation} received (min) ;9.1104335791443;
Standard deviation of nb of {end of local conversation} received (max) ;9.1104335791443;
Standard deviation of total size of {end of local conversation} received (avg) ;91.10433579144299;
Standard deviation of total size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of total size of {end of local conversation} received (min) ;91.10433579144299;
Standard deviation of total size of {end of local conversation} received (max) ;91.10433579144299;
Standard deviation of max size of {end of local conversation} received (avg) ;0.0;
Standard deviation of max size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of max size of {end of local conversation} received (min) ;0.0;
Standard deviation of max size of {end of local conversation} received (max) ;0;
Standard deviation of min size of {end of local conversation} received (avg) ;0.0;
Standard deviation of min size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of min size of {end of local conversation} received (min) ;0.0;
Standard deviation of min size of {end of local conversation} received (max) ;0;
Product of nb of {request} received (avg) ;1.124755632E10;
Product of nb of {request} received (stddev) ;0.0;
Product of nb of {request} received (min) ;11247556320;
Product of nb of {request} received (max) ;11247556320;
Product of total size of {request} received (avg) ;-5.179581293227221E18;
Product of total size of {request} received (stddev) ;0.0;
Product of total size of {request} received (min) ;-5179581293227220992;
Product of total size of {request} received (max) ;0;
Product of max size of {request} received (avg) ;1.1019960576E10;
Product of max size of {request} received (stddev) ;0.0;
Product of max size of {request} received (min) ;11019960576;
Product of max size of {request} received (max) ;11019960576;
Product of min size of {request} received (avg) ;1.1019960576E10;
Product of min size of {request} received (stddev) ;0.0;
Product of min size of {request} received (min) ;11019960576;
Product of min size of {request} received (max) ;11019960576;
Max of nb of {request} received (avg) ;27.0;
Max of nb of {request} received (stddev) ;0.0;
Max of nb of {request} received (min) ;27;
Max of nb of {request} received (max) ;27;
Max of total size of {request} received (avg) ;486.0;
Max of total size of {request} received (stddev) ;0.0;
Max of total size of {request} received (min) ;486;
Max of total size of {request} received (max) ;486;
Max of max size of {request} received (avg) ;18.0;
Max of max size of {request} received (stddev) ;0.0;
Max of max size of {request} received (min) ;18;
Max of max size of {request} received (max) ;18;
Max of min size of {request} received (avg) ;18.0;
Max of min size of {request} received (stddev) ;0.0;
Max of min size of {request} received (min) ;18;
Max of min size of {request} received (max) ;18;
Min of nb of {request} received (avg) ;13.0;
Min of nb of {request} received (stddev) ;0.0;
Min of nb of {request} received (min) ;13;
Min of nb of {request} received (max) ;13;
Min of total size of {request} received (avg) ;234.0;
Min of total size of {request} received (stddev) ;0.0;
Min of total size of {request} received (min) ;234;
Min of total size of {request} received (max) ;234;
Min of max size of {request} received (avg) ;18.0;
Min of max size of {request} received (stddev) ;0.0;
Min of max size of {request} received (min) ;18;
Min of max size of {request} received (max) ;18;
Min of min size of {request} received (avg) ;18.0;
Min of min size of {request} received (stddev) ;0.0;
Min of min size of {request} received (min) ;18;
Min of min size of {request} received (max) ;18;
Sum of nb of {request} received (avg) ;148.0;
Sum of nb of {request} received (stddev) ;0.0;
Sum of nb of {request} received (min) ;148;
Sum of nb of {request} received (max) ;148;
Sum of total size of {request} received (avg) ;2664.0;
Sum of total size of {request} received (stddev) ;0.0;
Sum of total size of {request} received (min) ;2664;
Sum of total size of {request} received (max) ;2664;
Sum of max size of {request} received (avg) ;144.0;
Sum of max size of {request} received (stddev) ;0.0;
Sum of max size of {request} received (min) ;144;
Sum of max size of {request} received (max) ;144;
Sum of min size of {request} received (avg) ;144.0;
Sum of min size of {request} received (stddev) ;0.0;
Sum of min size of {request} received (min) ;144;
Sum of min size of {request} received (max) ;144;
Average of nb of {request} received (avg) ;18.5;
Average of nb of {request} received (stddev) ;0.0;
Average of nb of {request} received (min) ;18.5;
Average of nb of {request} received (max) ;18.5;
Average of total size of {request} received (avg) ;333.0;
Average of total size of {request} received (stddev) ;0.0;
Average of total size of {request} received (min) ;333.0;
Average of total size of {request} received (max) ;333.0;
Average of max size of {request} received (avg) ;18.0;
Average of max size of {request} received (stddev) ;0.0;
Average of max size of {request} received (min) ;18.0;
Average of max size of {request} received (max) ;18.0;
Average of min size of {request} received (avg) ;18.0;
Average of min size of {request} received (stddev) ;0.0;
Average of min size of {request} received (min) ;18.0;
Average of min size of {request} received (max) ;18.0;
Standard deviation of nb of {request} received (avg) ;4.2130748865881795;
Standard deviation of nb of {request} received (stddev) ;0.0;
Standard deviation of nb of {request} received (min) ;4.2130748865881795;
Standard deviation of nb of {request} received (max) ;4.2130748865881795;
Standard deviation of total size of {request} received (avg) ;75.83534795858722;
Standard deviation of total size of {request} received (stddev) ;0.0;
Standard deviation of total size of {request} received (min) ;75.83534795858722;
Standard deviation of total size of {request} received (max) ;75.83534795858722;
Standard deviation of max size of {request} received (avg) ;0.0;
Standard deviation of max size of {request} received (stddev) ;0.0;
Standard deviation of max size of {request} received (min) ;0.0;
Standard deviation of max size of {request} received (max) ;0;
Standard deviation of min size of {request} received (avg) ;0.0;
Standard deviation of min size of {request} received (stddev) ;0.0;
Standard deviation of min size of {request} received (min) ;0.0;
Standard deviation of min size of {request} received (max) ;0;
Product of nb of {argue} received (avg) ;50000.0;
Product of nb of {argue} received (stddev) ;0.0;
Product of nb of {argue} received (min) ;50000;
Product of nb of {argue} received (max) ;50000;
Product of total size of {argue} received (avg) ;4.7408301997056E13;
Product of total size of {argue} received (stddev) ;0.0;
Product of total size of {argue} received (min) ;47408301997056;
Product of total size of {argue} received (max) ;47408301997056;
Product of max size of {argue} received (avg) ;1.475789056E9;
Product of max size of {argue} received (stddev) ;0.0;
Product of max size of {argue} received (min) ;1475789056;
Product of max size of {argue} received (max) ;1475789056;
Product of min size of {argue} received (avg) ;5.01645312E8;
Product of min size of {argue} received (stddev) ;0.0;
Product of min size of {argue} received (min) ;501645312;
Product of min size of {argue} received (max) ;501645312;
Max of nb of {argue} received (avg) ;5.0;
Max of nb of {argue} received (stddev) ;0.0;
Max of nb of {argue} received (min) ;5;
Max of nb of {argue} received (max) ;5;
Max of total size of {argue} received (avg) ;66.0;
Max of total size of {argue} received (stddev) ;0.0;
Max of total size of {argue} received (min) ;66;
Max of total size of {argue} received (max) ;66;
Max of max size of {argue} received (avg) ;14.0;
Max of max size of {argue} received (stddev) ;0.0;
Max of max size of {argue} received (min) ;14;
Max of max size of {argue} received (max) ;14;
Max of min size of {argue} received (avg) ;14.0;
Max of min size of {argue} received (stddev) ;0.0;
Max of min size of {argue} received (min) ;14;
Max of min size of {argue} received (max) ;14;
Min of nb of {argue} received (avg) ;2.0;
Min of nb of {argue} received (stddev) ;0.0;
Min of nb of {argue} received (min) ;2;
Min of nb of {argue} received (max) ;2;
Min of total size of {argue} received (avg) ;26.0;
Min of total size of {argue} received (stddev) ;0.0;
Min of total size of {argue} received (min) ;26;
Min of total size of {argue} received (max) ;26;
Min of max size of {argue} received (avg) ;14.0;
Min of max size of {argue} received (stddev) ;0.0;
Min of max size of {argue} received (min) ;14;
Min of max size of {argue} received (max) ;14;
Min of min size of {argue} received (avg) ;12.0;
Min of min size of {argue} received (stddev) ;0.0;
Min of min size of {argue} received (min) ;12;
Min of min size of {argue} received (max) ;12;
Sum of nb of {argue} received (avg) ;33.0;
Sum of nb of {argue} received (stddev) ;0.0;
Sum of nb of {argue} received (min) ;33;
Sum of nb of {argue} received (max) ;33;
Sum of total size of {argue} received (avg) ;436.0;
Sum of total size of {argue} received (stddev) ;0.0;
Sum of total size of {argue} received (min) ;436;
Sum of total size of {argue} received (max) ;436;
Sum of max size of {argue} received (avg) ;112.0;
Sum of max size of {argue} received (stddev) ;0.0;
Sum of max size of {argue} received (min) ;112;
Sum of max size of {argue} received (max) ;112;
Sum of min size of {argue} received (avg) ;98.0;
Sum of min size of {argue} received (stddev) ;0.0;
Sum of min size of {argue} received (min) ;98;
Sum of min size of {argue} received (max) ;98;
Average of nb of {argue} received (avg) ;4.125;
Average of nb of {argue} received (stddev) ;0.0;
Average of nb of {argue} received (min) ;4.125;
Average of nb of {argue} received (max) ;4.125;
Average of total size of {argue} received (avg) ;54.5;
Average of total size of {argue} received (stddev) ;0.0;
Average of total size of {argue} received (min) ;54.5;
Average of total size of {argue} received (max) ;54.5;
Average of max size of {argue} received (avg) ;14.0;
Average of max size of {argue} received (stddev) ;0.0;
Average of max size of {argue} received (min) ;14.0;
Average of max size of {argue} received (max) ;14.0;
Average of min size of {argue} received (avg) ;12.25;
Average of min size of {argue} received (stddev) ;0.0;
Average of min size of {argue} received (min) ;12.25;
Average of min size of {argue} received (max) ;12.25;
Standard deviation of nb of {argue} received (avg) ;1.2686114456365274;
Standard deviation of nb of {argue} received (stddev) ;0.0;
Standard deviation of nb of {argue} received (min) ;1.2686114456365274;
Standard deviation of nb of {argue} received (max) ;1.2686114456365274;
Standard deviation of total size of {argue} received (avg) ;16.515144564913744;
Standard deviation of total size of {argue} received (stddev) ;0.0;
Standard deviation of total size of {argue} received (min) ;16.515144564913744;
Standard deviation of total size of {argue} received (max) ;16.515144564913744;
Standard deviation of max size of {argue} received (avg) ;0.0;
Standard deviation of max size of {argue} received (stddev) ;0.0;
Standard deviation of max size of {argue} received (min) ;0.0;
Standard deviation of max size of {argue} received (max) ;0;
Standard deviation of min size of {argue} received (avg) ;0.6614378277661477;
Standard deviation of min size of {argue} received (stddev) ;0.0;
Standard deviation of min size of {argue} received (min) ;0.6614378277661477;
Standard deviation of min size of {argue} received (max) ;0.6614378277661477;
Product of nb of {acknowledge} received (avg) ;9.419784192E11;
Product of nb of {acknowledge} received (stddev) ;0.0;
Product of nb of {acknowledge} received (min) ;941978419200;
Product of nb of {acknowledge} received (max) ;941978419200;
Product of total size of {acknowledge} received (avg) ;2.411464753152E14;
Product of total size of {acknowledge} received (stddev) ;0.0;
Product of total size of {acknowledge} received (min) ;241146475315200;
Product of total size of {acknowledge} received (max) ;241146475315200;
Product of max size of {acknowledge} received (avg) ;256.0;
Product of max size of {acknowledge} received (stddev) ;0.0;
Product of max size of {acknowledge} received (min) ;256;
Product of max size of {acknowledge} received (max) ;256;
Product of min size of {acknowledge} received (avg) ;256.0;
Product of min size of {acknowledge} received (stddev) ;0.0;
Product of min size of {acknowledge} received (min) ;256;
Product of min size of {acknowledge} received (max) ;256;
Max of nb of {acknowledge} received (avg) ;52.0;
Max of nb of {acknowledge} received (stddev) ;0.0;
Max of nb of {acknowledge} received (min) ;52;
Max of nb of {acknowledge} received (max) ;52;
Max of total size of {acknowledge} received (avg) ;104.0;
Max of total size of {acknowledge} received (stddev) ;0.0;
Max of total size of {acknowledge} received (min) ;104;
Max of total size of {acknowledge} received (max) ;104;
Max of max size of {acknowledge} received (avg) ;2.0;
Max of max size of {acknowledge} received (stddev) ;0.0;
Max of max size of {acknowledge} received (min) ;2;
Max of max size of {acknowledge} received (max) ;2;
Max of min size of {acknowledge} received (avg) ;2.0;
Max of min size of {acknowledge} received (stddev) ;0.0;
Max of min size of {acknowledge} received (min) ;2;
Max of min size of {acknowledge} received (max) ;2;
Min of nb of {acknowledge} received (avg) ;24.0;
Min of nb of {acknowledge} received (stddev) ;0.0;
Min of nb of {acknowledge} received (min) ;24;
Min of nb of {acknowledge} received (max) ;24;
Min of total size of {acknowledge} received (avg) ;48.0;
Min of total size of {acknowledge} received (stddev) ;0.0;
Min of total size of {acknowledge} received (min) ;48;
Min of total size of {acknowledge} received (max) ;48;
Min of max size of {acknowledge} received (avg) ;2.0;
Min of max size of {acknowledge} received (stddev) ;0.0;
Min of max size of {acknowledge} received (min) ;2;
Min of max size of {acknowledge} received (max) ;2;
Min of min size of {acknowledge} received (avg) ;2.0;
Min of min size of {acknowledge} received (stddev) ;0.0;
Min of min size of {acknowledge} received (min) ;2;
Min of min size of {acknowledge} received (max) ;2;
Sum of nb of {acknowledge} received (avg) ;259.0;
Sum of nb of {acknowledge} received (stddev) ;0.0;
Sum of nb of {acknowledge} received (min) ;259;
Sum of nb of {acknowledge} received (max) ;259;
Sum of total size of {acknowledge} received (avg) ;518.0;
Sum of total size of {acknowledge} received (stddev) ;0.0;
Sum of total size of {acknowledge} received (min) ;518;
Sum of total size of {acknowledge} received (max) ;518;
Sum of max size of {acknowledge} received (avg) ;16.0;
Sum of max size of {acknowledge} received (stddev) ;0.0;
Sum of max size of {acknowledge} received (min) ;16;
Sum of max size of {acknowledge} received (max) ;16;
Sum of min size of {acknowledge} received (avg) ;16.0;
Sum of min size of {acknowledge} received (stddev) ;0.0;
Sum of min size of {acknowledge} received (min) ;16;
Sum of min size of {acknowledge} received (max) ;16;
Average of nb of {acknowledge} received (avg) ;32.375;
Average of nb of {acknowledge} received (stddev) ;0.0;
Average of nb of {acknowledge} received (min) ;32.375;
Average of nb of {acknowledge} received (max) ;32.375;
Average of total size of {acknowledge} received (avg) ;64.75;
Average of total size of {acknowledge} received (stddev) ;0.0;
Average of total size of {acknowledge} received (min) ;64.75;
Average of total size of {acknowledge} received (max) ;64.75;
Average of max size of {acknowledge} received (avg) ;2.0;
Average of max size of {acknowledge} received (stddev) ;0.0;
Average of max size of {acknowledge} received (min) ;2.0;
Average of max size of {acknowledge} received (max) ;2.0;
Average of min size of {acknowledge} received (avg) ;2.0;
Average of min size of {acknowledge} received (stddev) ;0.0;
Average of min size of {acknowledge} received (min) ;2.0;
Average of min size of {acknowledge} received (max) ;2.0;
Standard deviation of nb of {acknowledge} received (avg) ;8.673775129665284;
Standard deviation of nb of {acknowledge} received (stddev) ;0.0;
