;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Average of total size of solve for extended hyp (max) ;3296.375;
Average of max size of solve for extended hyp (avg) ;749.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;749.5;
Average of max size of solve for extended hyp (max) ;749.5;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;3.0998991919093113;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;3.0998991919093113;
Standard deviation of nb of solve for extended hyp (max) ;3.0998991919093113;
Standard deviation of total size of solve for extended hyp (avg) ;2650.211215049661;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;2650.211215049661;
Standard deviation of total size of solve for extended hyp (max) ;2650.211215049661;
Standard deviation of max size of solve for extended hyp (avg) ;407.13941101298457;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;407.13941101298457;
Standard deviation of max size of solve for extended hyp (max) ;407.13941101298457;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;1.6107498211896E14;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;161074982118960;
Product of nb of solve for own context (max) ;161074982118960;
Product of total size of solve for own context (avg) ;8.7021606222430228E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;8702160622243023360;
Product of total size of solve for own context (max) ;8702160622243023360;
Product of max size of solve for own context (avg) ;8.61411382535808E14;
