;v0.3.13e10_exEcai-3ag_Inc_Clique_3Summ
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;6.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;6;
Nb of {Accept Request} sent (max) ;6;
Total size of {Accept Request} sent (avg) ;60.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;60;
Total size of {Accept Request} sent (max) ;60;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;6.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;6;
Nb of {New neighbour} received (max) ;6;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;3.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;3;
Nb of {Start} received (max) ;3;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-1.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-1;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-2.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-2;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;6.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;6;
Nb of {Accept Request} received (max) ;6;
Total size of {Accept Request} received (avg) ;60.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;60;
Total size of {Accept Request} received (max) ;60;
Global Max size of {Confirm context} received (avg) ;64.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;64;
Global Max size of {Confirm context} received (max) ;64;
Nb of {Confirm context} received (avg) ;15.6;
Nb of {Confirm context} received (stddev) ;0.48989794855663565;
Nb of {Confirm context} received (min) ;15;
Nb of {Confirm context} received (max) ;16;
Total size of {Confirm context} received (avg) ;413.4;
Total size of {Confirm context} received (stddev) ;31.353468707624682;
Total size of {Confirm context} received (min) ;375;
Total size of {Confirm context} received (max) ;439;
Global Max size of {Deny} received (avg) ;32.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;32;
Global Max size of {Deny} received (max) ;32;
Nb of {Deny} received (avg) ;6.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;6;
Nb of {Deny} received (max) ;6;
Total size of {Deny} received (avg) ;146.0;
Total size of {Deny} received (stddev) ;4.898979485566356;
Total size of {Deny} received (min) ;142;
Total size of {Deny} received (max) ;152;
Global Max size of {Propose} received (avg) ;76.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;76;
Global Max size of {Propose} received (max) ;76;
Nb of {Propose} received (avg) ;17.6;
Nb of {Propose} received (stddev) ;0.4898979485566356;
Nb of {Propose} received (min) ;17;
Nb of {Propose} received (max) ;18;
Total size of {Propose} received (avg) ;626.2;
Total size of {Propose} received (stddev) ;10.777754868245982;
Total size of {Propose} received (min) ;613;
Total size of {Propose} received (max) ;635;
Global Max size of {Acknowledge confirmation} received (avg) ;59.2;
Global Max size of {Acknowledge confirmation} received (stddev) ;20.575713839378697;
Global Max size of {Acknowledge confirmation} received (min) ;34;
Global Max size of {Acknowledge confirmation} received (max) ;76;
Nb of {Acknowledge confirmation} received (avg) ;13.6;
Nb of {Acknowledge confirmation} received (stddev) ;0.48989794855663565;
Nb of {Acknowledge confirmation} received (min) ;13;
Nb of {Acknowledge confirmation} received (max) ;14;
Total size of {Acknowledge confirmation} received (avg) ;365.6;
Total size of {Acknowledge confirmation} received (stddev) ;37.232244090304306;
Total size of {Acknowledge confirmation} received (min) ;320;
Total size of {Acknowledge confirmation} received (max) ;396;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;0.4;
Nb of {Withdraw incomplete} received (stddev) ;0.48989794855663565;
Nb of {Withdraw incomplete} received (min) ;0;
Nb of {Withdraw incomplete} received (max) ;1;
Total size of {Withdraw incomplete} received (avg) ;2.4;
Total size of {Withdraw incomplete} received (stddev) ;0.48989794855663565;
Total size of {Withdraw incomplete} received (min) ;2;
Total size of {Withdraw incomplete} received (max) ;3;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;6.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;6;
Nb of {Argue} received (max) ;6;
Total size of {Argue} received (avg) ;112.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;112;
Total size of {Argue} received (max) ;112;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;12.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;12;
