;v0.3.1395e1_chain8-4_ECAI_Circuit_4All
Average of max size of solve for external context (max) ;24.25;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;147.7368860508438;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;147.7368860508438;
Standard deviation of nb of solve for external context (max) ;147.7368860508438;
Standard deviation of total size of solve for external context (avg) ;945.0202378785335;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;945.0202378785335;
Standard deviation of total size of solve for external context (max) ;945.0202378785335;
Standard deviation of max size of solve for external context (avg) ;5.629165124598851;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.629165124598851;
Standard deviation of max size of solve for external context (max) ;5.629165124598851;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;1.477359E7;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;14773590;
Product of nb of solve for covered manif. (max) ;14773590;
Product of total size of solve for covered manif. (avg) ;7.79501961902E11;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;779501961902;
Product of total size of solve for covered manif. (max) ;779501961902;
Product of max size of solve for covered manif. (avg) ;578125.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;578125;
Product of max size of solve for covered manif. (max) ;578125;
Product of min size of solve for covered manif. (avg) ;81.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;81;
Product of min size of solve for covered manif. (max) ;81;
Max of nb of solve for covered manif. (avg) ;69.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;69;
Max of nb of solve for covered manif. (max) ;69;
Max of total size of solve for covered manif. (avg) ;1126.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1126;
Max of total size of solve for covered manif. (max) ;1126;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;54.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;54;
Min of nb of solve for covered manif. (max) ;54;
Min of total size of solve for covered manif. (avg) ;811.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;811;
Min of total size of solve for covered manif. (max) ;811;
Min of max size of solve for covered manif. (avg) ;25.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;25;
Min of max size of solve for covered manif. (max) ;25;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;249.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;249;
Sum of nb of solve for covered manif. (max) ;249;
Sum of total size of solve for covered manif. (avg) ;3785.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;3785;
Sum of total size of solve for covered manif. (max) ;3785;
Sum of max size of solve for covered manif. (avg) ;112.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;112;
Sum of max size of solve for covered manif. (max) ;112;
Sum of min size of solve for covered manif. (avg) ;12.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;12;
Sum of min size of solve for covered manif. (max) ;12;
Average of nb of solve for covered manif. (avg) ;62.25;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;62.25;
Average of nb of solve for covered manif. (max) ;62.25;
Average of total size of solve for covered manif. (avg) ;946.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;946.25;
Average of total size of solve for covered manif. (max) ;946.25;
Average of max size of solve for covered manif. (avg) ;28.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;28.0;
Average of max size of solve for covered manif. (max) ;28.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;5.539629951540085;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;5.539629951540085;
Standard deviation of nb of solve for covered manif. (max) ;5.539629951540085;
Standard deviation of total size of solve for covered manif. (avg) ;113.9415968819114;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;113.9415968819114;
Standard deviation of total size of solve for covered manif. (max) ;113.9415968819114;
