;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2All
Standard deviation of max size of solve for extended hyp (max) ;2.0;
Standard deviation of min size of solve for extended hyp (avg) ;2.0;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;2.0;
Standard deviation of min size of solve for extended hyp (max) ;2.0;
Product of nb of solve for own context (avg) ;6.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;6;
Product of nb of solve for own context (max) ;6;
Product of total size of solve for own context (avg) ;1088.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1088;
Product of total size of solve for own context (max) ;1088;
Product of max size of solve for own context (avg) ;289.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;289;
Product of max size of solve for own context (max) ;289;
Product of min size of solve for own context (avg) ;136.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;136;
Product of min size of solve for own context (max) ;136;
Max of nb of solve for own context (avg) ;6.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;6;
Max of nb of solve for own context (max) ;6;
Max of total size of solve for own context (avg) ;64.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;64;
Max of total size of solve for own context (max) ;64;
Max of max size of solve for own context (avg) ;17.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;17;
Max of max size of solve for own context (max) ;17;
Max of min size of solve for own context (avg) ;17.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;17;
Max of min size of solve for own context (max) ;17;
Min of nb of solve for own context (avg) ;1.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;1;
Min of nb of solve for own context (max) ;1;
Min of total size of solve for own context (avg) ;17.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;17;
Min of total size of solve for own context (max) ;17;
Min of max size of solve for own context (avg) ;17.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;17;
Min of max size of solve for own context (max) ;17;
Min of min size of solve for own context (avg) ;8.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;8;
Min of min size of solve for own context (max) ;8;
Sum of nb of solve for own context (avg) ;7.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;7;
Sum of nb of solve for own context (max) ;7;
Sum of total size of solve for own context (avg) ;81.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;81;
Sum of total size of solve for own context (max) ;81;
Sum of max size of solve for own context (avg) ;34.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;34;
Sum of max size of solve for own context (max) ;34;
Sum of min size of solve for own context (avg) ;25.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;25;
Sum of min size of solve for own context (max) ;25;
Average of nb of solve for own context (avg) ;3.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;3.5;
Average of nb of solve for own context (max) ;3.5;
Average of total size of solve for own context (avg) ;40.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;40.5;
Average of total size of solve for own context (max) ;40.5;
Average of max size of solve for own context (avg) ;17.0;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;17.0;
Average of max size of solve for own context (max) ;17.0;
Average of min size of solve for own context (avg) ;12.5;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;12.5;
Average of min size of solve for own context (max) ;12.5;
Standard deviation of nb of solve for own context (avg) ;2.5;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;2.5;
Standard deviation of nb of solve for own context (max) ;2.5;
Standard deviation of total size of solve for own context (avg) ;23.5;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;23.5;
Standard deviation of total size of solve for own context (max) ;23.5;
Standard deviation of max size of solve for own context (avg) ;0.0;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;0.0;
Standard deviation of max size of solve for own context (max) ;0;
Standard deviation of min size of solve for own context (avg) ;4.5;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;4.5;
Standard deviation of min size of solve for own context (max) ;4.5;
Product of nb of solve for external context (avg) ;49.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;49;
Product of nb of solve for external context (max) ;49;
Product of total size of solve for external context (avg) ;9047.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;9047;
Product of total size of solve for external context (max) ;9047;
Product of max size of solve for external context (avg) ;1449.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;1449;
Product of max size of solve for external context (max) ;1449;
Product of min size of solve for external context (avg) ;8.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;8;
Product of min size of solve for external context (max) ;8;
Max of nb of solve for external context (avg) ;7.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;7;
Max of nb of solve for external context (max) ;7;
Max of total size of solve for external context (avg) ;109.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;109;
Max of total size of solve for external context (max) ;109;
Max of max size of solve for external context (avg) ;63.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;63;
Max of max size of solve for external context (max) ;63;
Max of min size of solve for external context (avg) ;4.0;
