;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;0.8660254037844386;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.8660254037844386;
Standard deviation of nb of solve for extended hyp (max) ;0.8660254037844386;
Standard deviation of total size of solve for extended hyp (avg) ;82.7598181486644;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;82.7598181486644;
Standard deviation of total size of solve for extended hyp (max) ;82.7598181486644;
Standard deviation of max size of solve for extended hyp (avg) ;7.035623639735144;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;7.035623639735144;
Standard deviation of max size of solve for extended hyp (max) ;7.035623639735144;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;5.07693736E8;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;507693736;
Product of nb of solve for own context (max) ;507693736;
Product of total size of solve for own context (avg) ;5.558883168384E12;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;5558883168384;
Product of total size of solve for own context (max) ;5558883168384;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;242.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;242;
Max of nb of solve for own context (max) ;242;
Max of total size of solve for own context (avg) ;2736.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;2736;
Max of total size of solve for own context (max) ;2736;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;83.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;83;
Min of nb of solve for own context (max) ;83;
Min of total size of solve for own context (avg) ;867.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;867;
Min of total size of solve for own context (max) ;867;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
