;v0.3.13e10_exEcai-3ag_Inc-CL_Ligne_3All
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;27.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;27;
Sum of nb of solve for own context (max) ;27;
Sum of total size of solve for own context (avg) ;291.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;291;
Sum of total size of solve for own context (max) ;291;
Sum of max size of solve for own context (avg) ;73.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;73;
Sum of max size of solve for own context (max) ;73;
Sum of min size of solve for own context (avg) ;14.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;14;
Sum of min size of solve for own context (max) ;14;
Average of nb of solve for own context (avg) ;9.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;9.0;
Average of nb of solve for own context (max) ;9.0;
Average of total size of solve for own context (avg) ;97.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;97.0;
Average of total size of solve for own context (max) ;97.0;
Average of max size of solve for own context (avg) ;24.333333333333336;
Average of max size of solve for own context (stddev) ;3.552713678800501E-15;
Average of max size of solve for own context (min) ;24.333333333333332;
Average of max size of solve for own context (max) ;24.333333333333332;
Average of min size of solve for own context (avg) ;4.666666666666666;
Average of min size of solve for own context (stddev) ;8.881784197001252E-16;
Average of min size of solve for own context (min) ;4.666666666666667;
Average of min size of solve for own context (max) ;4.666666666666667;
Standard deviation of nb of solve for own context (avg) ;4.320493798938573;
Standard deviation of nb of solve for own context (stddev) ;8.881784197001252E-16;
Standard deviation of nb of solve for own context (min) ;4.320493798938574;
Standard deviation of nb of solve for own context (max) ;4.320493798938574;
Standard deviation of total size of solve for own context (avg) ;36.98648401781385;
Standard deviation of total size of solve for own context (stddev) ;7.105427357601002E-15;
Standard deviation of total size of solve for own context (min) ;36.98648401781386;
Standard deviation of total size of solve for own context (max) ;36.98648401781386;
Standard deviation of max size of solve for own context (avg) ;8.956685895029603;
Standard deviation of max size of solve for own context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for own context (min) ;8.9566858950296;
Standard deviation of max size of solve for own context (max) ;8.9566858950296;
Standard deviation of min size of solve for own context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.9428090415820634;
Standard deviation of min size of solve for own context (max) ;0.9428090415820634;
Product of nb of solve for external context (avg) ;910.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;910;
Product of nb of solve for external context (max) ;910;
Product of total size of solve for external context (avg) ;694330.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;694330;
