;v0.3.11e1_exEcai-2ag_Inc_Clique_2All
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;27.0;
Average of total size of solve for own context (max) ;27.0;
Average of max size of solve for own context (avg) ;12.5;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;12.5;
Average of max size of solve for own context (max) ;12.5;
Average of min size of solve for own context (avg) ;8.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;8.0;
Average of min size of solve for own context (max) ;8.0;
Standard deviation of nb of solve for own context (avg) ;0.5;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;0.5;
Standard deviation of nb of solve for own context (max) ;0.5;
Standard deviation of total size of solve for own context (avg) ;11.0;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;11.0;
Standard deviation of total size of solve for own context (max) ;11.0;
Standard deviation of max size of solve for own context (avg) ;4.5;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;4.5;
Standard deviation of max size of solve for own context (max) ;4.5;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;25.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;25;
Product of nb of solve for external context (max) ;25;
Product of total size of solve for external context (avg) ;5568.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;5568;
Product of total size of solve for external context (max) ;5568;
Product of max size of solve for external context (avg) ;1449.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;1449;
Product of max size of solve for external context (max) ;1449;
Product of min size of solve for external context (avg) ;8.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;8;
Product of min size of solve for external context (max) ;8;
Max of nb of solve for external context (avg) ;5.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;5;
Max of nb of solve for external context (max) ;5;
Max of total size of solve for external context (avg) ;87.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;87;
Max of total size of solve for external context (max) ;87;
Max of max size of solve for external context (avg) ;63.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;63;
Max of max size of solve for external context (max) ;63;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;5.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;5;
Min of nb of solve for external context (max) ;5;
Min of total size of solve for external context (avg) ;64.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;64;
Min of total size of solve for external context (max) ;64;
Min of max size of solve for external context (avg) ;23.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;23;
Min of max size of solve for external context (max) ;23;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;10.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;10;
Sum of nb of solve for external context (max) ;10;
Sum of total size of solve for external context (avg) ;151.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;151;
Sum of total size of solve for external context (max) ;151;
Sum of max size of solve for external context (avg) ;86.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;86;
Sum of max size of solve for external context (max) ;86;
Sum of min size of solve for external context (avg) ;6.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;6;
Sum of min size of solve for external context (max) ;6;
Average of nb of solve for external context (avg) ;5.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;5.0;
Average of nb of solve for external context (max) ;5.0;
Average of total size of solve for external context (avg) ;75.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;75.5;
Average of total size of solve for external context (max) ;75.5;
Average of max size of solve for external context (avg) ;43.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;43.0;
Average of max size of solve for external context (max) ;43.0;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;0.0;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;0.0;
Standard deviation of nb of solve for external context (max) ;0;
Standard deviation of total size of solve for external context (avg) ;11.5;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;11.5;
Standard deviation of total size of solve for external context (max) ;11.5;
Standard deviation of max size of solve for external context (avg) ;20.0;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;20.0;
Standard deviation of max size of solve for external context (max) ;20.0;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;0.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;0;
Product of nb of solve for covered manif. (max) ;0;
Product of total size of solve for covered manif. (avg) ;0.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;0;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;-16.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;-16;
Product of max size of solve for covered manif. (max) ;0;
Product of min size of solve for covered manif. (avg) ;-16.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;-16;
Product of min size of solve for covered manif. (max) ;0;
Max of nb of solve for covered manif. (avg) ;2.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;2;
Max of nb of solve for covered manif. (max) ;2;
Max of total size of solve for covered manif. (avg) ;32.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;32;
Max of total size of solve for covered manif. (max) ;32;
Max of max size of solve for covered manif. (avg) ;16.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;16;
Max of max size of solve for covered manif. (max) ;16;
Max of min size of solve for covered manif. (avg) ;16.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;16;
Max of min size of solve for covered manif. (max) ;16;
Min of nb of solve for covered manif. (avg) ;0.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;0;
Min of nb of solve for covered manif. (max) ;0;
Min of total size of solve for covered manif. (avg) ;0.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;0;
Min of total size of solve for covered manif. (max) ;0;
Min of max size of solve for covered manif. (avg) ;-1.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;-1;
Min of max size of solve for covered manif. (max) ;0;
Min of min size of solve for covered manif. (avg) ;-1.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;-1;
Min of min size of solve for covered manif. (max) ;0;
Sum of nb of solve for covered manif. (avg) ;2.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;2;
Sum of nb of solve for covered manif. (max) ;2;
Sum of total size of solve for covered manif. (avg) ;32.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;32;
Sum of total size of solve for covered manif. (max) ;32;
Sum of max size of solve for covered manif. (avg) ;15.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;15;
Sum of max size of solve for covered manif. (max) ;15;
Sum of min size of solve for covered manif. (avg) ;15.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;15;
Sum of min size of solve for covered manif. (max) ;15;
Average of nb of solve for covered manif. (avg) ;1.0;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;1.0;
Average of nb of solve for covered manif. (max) ;1.0;
Average of total size of solve for covered manif. (avg) ;16.0;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;16.0;
Average of total size of solve for covered manif. (max) ;16.0;
Average of max size of solve for covered manif. (avg) ;7.5;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;7.5;
Average of max size of solve for covered manif. (max) ;7.5;
Average of min size of solve for covered manif. (avg) ;7.5;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;7.5;
Average of min size of solve for covered manif. (max) ;7.5;
Standard deviation of nb of solve for covered manif. (avg) ;1.0;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;1.0;
Standard deviation of nb of solve for covered manif. (max) ;1.0;
Standard deviation of total size of solve for covered manif. (avg) ;16.0;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;16.0;
Standard deviation of total size of solve for covered manif. (max) ;16.0;
Standard deviation of max size of solve for covered manif. (avg) ;8.5;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
Standard deviation of max size of solve for covered manif. (min) ;8.5;
Standard deviation of max size of solve for covered manif. (max) ;8.5;
Standard deviation of min size of solve for covered manif. (avg) ;8.5;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;8.5;
Standard deviation of min size of solve for covered manif. (max) ;8.5;
Product of nb of solve for addtotheory (avg) ;0.0;
Product of nb of solve for addtotheory (stddev) ;0.0;
Product of nb of solve for addtotheory (min) ;0;
Product of nb of solve for addtotheory (max) ;0;
Product of total size of solve for addtotheory (avg) ;0.0;
Product of total size of solve for addtotheory (stddev) ;0.0;
Product of total size of solve for addtotheory (min) ;0;
Product of total size of solve for addtotheory (max) ;0;
Product of max size of solve for addtotheory (avg) ;-2.0;
Product of max size of solve for addtotheory (stddev) ;0.0;
