;v0.3.139e1_DAREscheduleVariant_ECAI_DARE_8All
Product of max size of solve for external context (avg) ;1.9988150234976E14;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;199881502349760;
Product of max size of solve for external context (max) ;199881502349760;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;103.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;103;
Max of nb of solve for external context (max) ;103;
Max of total size of solve for external context (avg) ;2381.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2381;
Max of total size of solve for external context (max) ;2381;
Max of max size of solve for external context (avg) ;132.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;132;
Max of max size of solve for external context (max) ;132;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;31.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;31;
Min of nb of solve for external context (max) ;31;
Min of total size of solve for external context (avg) ;380.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;380;
Min of total size of solve for external context (max) ;380;
Min of max size of solve for external context (avg) ;16.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;16;
Min of max size of solve for external context (max) ;16;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;465.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;465;
Sum of nb of solve for external context (max) ;465;
Sum of total size of solve for external context (avg) ;8275.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;8275;
Sum of total size of solve for external context (max) ;8275;
Sum of max size of solve for external context (avg) ;560.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;560;
Sum of max size of solve for external context (max) ;560;
Sum of min size of solve for external context (avg) ;17.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;17;
Sum of min size of solve for external context (max) ;17;
Average of nb of solve for external context (avg) ;58.125;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;58.125;
Average of nb of solve for external context (max) ;58.125;
Average of total size of solve for external context (avg) ;1034.375;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1034.375;
Average of total size of solve for external context (max) ;1034.375;
Average of max size of solve for external context (avg) ;70.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;70.0;
Average of max size of solve for external context (max) ;70.0;
Average of min size of solve for external context (avg) ;2.125;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.125;
Average of min size of solve for external context (max) ;2.125;
Standard deviation of nb of solve for external context (avg) ;22.882512427615985;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;22.882512427615985;
Standard deviation of nb of solve for external context (max) ;22.882512427615985;
Standard deviation of total size of solve for external context (avg) ;630.6593647722992;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;630.6593647722992;
Standard deviation of total size of solve for external context (max) ;630.6593647722992;
Standard deviation of max size of solve for external context (avg) ;31.316928329579195;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;31.316928329579195;
Standard deviation of max size of solve for external context (max) ;31.316928329579195;
Standard deviation of min size of solve for external context (avg) ;1.4523687548277813;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.4523687548277813;
