;v0.3.1395e2_chain8_ECAI_Ligne_8All
Product of max size of solve for own context (min) ;688905000000;
Product of max size of solve for own context (max) ;688905000000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;402.5;
Max of nb of solve for own context (stddev) ;37.5;
Max of nb of solve for own context (min) ;365;
Max of nb of solve for own context (max) ;440;
Max of total size of solve for own context (avg) ;4639.0;
Max of total size of solve for own context (stddev) ;630.0;
Max of total size of solve for own context (min) ;4009;
Max of total size of solve for own context (max) ;5269;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;82.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;82;
Min of nb of solve for own context (max) ;82;
Min of total size of solve for own context (avg) ;638.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;638;
Min of total size of solve for own context (max) ;638;
Min of max size of solve for own context (avg) ;21.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;21;
Min of max size of solve for own context (max) ;21;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1570.5;
Sum of nb of solve for own context (stddev) ;113.5;
Sum of nb of solve for own context (min) ;1457;
Sum of nb of solve for own context (max) ;1684;
Sum of total size of solve for own context (avg) ;14455.0;
Sum of total size of solve for own context (stddev) ;1075.0;
Sum of total size of solve for own context (min) ;13380;
Sum of total size of solve for own context (max) ;15530;
Sum of max size of solve for own context (avg) ;246.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;246;
Sum of max size of solve for own context (max) ;246;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;196.3125;
Average of nb of solve for own context (stddev) ;14.1875;
Average of nb of solve for own context (min) ;182.125;
Average of nb of solve for own context (max) ;210.5;
Average of total size of solve for own context (avg) ;1806.875;
Average of total size of solve for own context (stddev) ;134.375;
Average of total size of solve for own context (min) ;1672.5;
Average of total size of solve for own context (max) ;1941.25;
Average of max size of solve for own context (avg) ;30.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;30.75;
Average of max size of solve for own context (max) ;30.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;94.12432147241785;
Standard deviation of nb of solve for own context (stddev) ;7.675727643483874;
Standard deviation of nb of solve for own context (min) ;86.44859382893397;
Standard deviation of nb of solve for own context (max) ;101.80004911590171;
Standard deviation of total size of solve for own context (avg) ;1164.757538551415;
Standard deviation of total size of solve for own context (stddev) ;183.55508747416667;
Standard deviation of total size of solve for own context (min) ;981.2024510772484;
Standard deviation of total size of solve for own context (max) ;1348.3126260255817;
Standard deviation of max size of solve for own context (avg) ;6.139014578904337;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.139014578904337;
Standard deviation of max size of solve for own context (max) ;6.139014578904337;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7.7446292012348224E17;
Product of nb of solve for external context (stddev) ;5.4019445028020726E18;
Product of nb of solve for external context (min) ;-4627481582678590622;
Product of nb of solve for external context (max) ;6176407422925555072;
Product of total size of solve for external context (avg) ;8.7442704263522608E16;
Product of total size of solve for external context (stddev) ;2.11247405981674931E18;
Product of total size of solve for external context (min) ;-2025031355553226752;
Product of total size of solve for external context (max) ;2199916764080271968;
Product of max size of solve for external context (avg) ;3.2076529254E10;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;32076529254;
Product of max size of solve for external context (max) ;32076529254;
Product of min size of solve for external context (avg) ;1024.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;1024;
Product of min size of solve for external context (max) ;1024;
Max of nb of solve for external context (avg) ;824.0;
Max of nb of solve for external context (stddev) ;75.0;
Max of nb of solve for external context (min) ;749;
Max of nb of solve for external context (max) ;899;
Max of total size of solve for external context (avg) ;5034.5;
Max of total size of solve for external context (stddev) ;525.5;
Max of total size of solve for external context (min) ;4509;
Max of total size of solve for external context (max) ;5560;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;146.5;
Min of nb of solve for external context (stddev) ;3.5;
Min of nb of solve for external context (min) ;143;
Min of nb of solve for external context (max) ;150;
Min of total size of solve for external context (avg) ;701.5;
Min of total size of solve for external context (stddev) ;17.5;
Min of total size of solve for external context (min) ;684;
Min of total size of solve for external context (max) ;719;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;3270.0;
Sum of nb of solve for external context (stddev) ;191.0;
Sum of nb of solve for external context (min) ;3079;
Sum of nb of solve for external context (max) ;3461;
Sum of total size of solve for external context (avg) ;18198.0;
Sum of total size of solve for external context (stddev) ;1218.0;
Sum of total size of solve for external context (min) ;16980;
Sum of total size of solve for external context (max) ;19416;
Sum of max size of solve for external context (avg) ;171.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;171;
Sum of max size of solve for external context (max) ;171;
Sum of min size of solve for external context (avg) ;20.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;20;
Sum of min size of solve for external context (max) ;20;
Average of nb of solve for external context (avg) ;408.75;
Average of nb of solve for external context (stddev) ;23.875;
