;v0.3.139e1_DAREscheduleBis_ECAI-CL_DARE_8Summ
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;144;
Global Max size of {Ask other hypothesis} sent (max) ;144;
Nb of {Ask other hypothesis} sent (avg) ;61.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;61;
Nb of {Ask other hypothesis} sent (max) ;61;
Total size of {Ask other hypothesis} sent (avg) ;5041.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;5041;
Total size of {Ask other hypothesis} sent (max) ;5041;
Global Max size of {Accept} sent (avg) ;31.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;31;
Global Max size of {Accept} sent (max) ;31;
Nb of {Accept} sent (avg) ;33.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;33;
Nb of {Accept} sent (max) ;33;
Total size of {Accept} sent (avg) ;1023.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;1023;
Total size of {Accept} sent (max) ;1023;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;4.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;4;
Nb of {Withdraw} sent (max) ;4;
Total size of {Withdraw} sent (avg) ;11.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;11;
Total size of {Withdraw} sent (max) ;11;
Global Max size of {Coherence counter-example} sent (avg) ;39.0;
Global Max size of {Coherence counter-example} sent (stddev) ;0.0;
Global Max size of {Coherence counter-example} sent (min) ;39;
Global Max size of {Coherence counter-example} sent (max) ;39;
Nb of {Coherence counter-example} sent (avg) ;0.0;
Nb of {Coherence counter-example} sent (stddev) ;0.0;
Nb of {Coherence counter-example} sent (min) ;0;
Nb of {Coherence counter-example} sent (max) ;0;
Total size of {Coherence counter-example} sent (avg) ;188.0;
Total size of {Coherence counter-example} sent (stddev) ;0.0;
Total size of {Coherence counter-example} sent (min) ;188;
Total size of {Coherence counter-example} sent (max) ;188;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;33.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;33;
Nb of {Accept Request} sent (max) ;33;
Total size of {Accept Request} sent (avg) ;330.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;330;
Total size of {Accept Request} sent (max) ;330;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;16.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;16;
Nb of {New neighbour} received (max) ;16;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;8.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;8;
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;30.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;30;
Nb of {Accept Request} received (max) ;30;
Total size of {Accept Request} received (avg) ;327.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;327;
Total size of {Accept Request} received (max) ;327;
Global Max size of {Confirm context} received (avg) ;228.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;228;
Global Max size of {Confirm context} received (max) ;228;
Nb of {Confirm context} received (avg) ;240.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;240;
Nb of {Confirm context} received (max) ;240;
Total size of {Confirm context} received (avg) ;26678.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;26678;
Total size of {Confirm context} received (max) ;26678;
Global Max size of {Deny} received (avg) ;242.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;242;
Global Max size of {Deny} received (max) ;242;
Nb of {Deny} received (avg) ;145.0;
Nb of {Deny} received (stddev) ;0.0;
