;e1_chain7_ECAI-CL_Ligne_0All
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;15.5;
Average of min size of solve for extended hyp (max) ;15.5;
Standard deviation of nb of solve for extended hyp (avg) ;2.315032397181517;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;2.315032397181517;
Standard deviation of nb of solve for extended hyp (max) ;2.315032397181517;
Standard deviation of total size of solve for extended hyp (avg) ;273.3465920310696;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;273.3465920310696;
Standard deviation of total size of solve for extended hyp (max) ;273.3465920310696;
Standard deviation of max size of solve for extended hyp (avg) ;27.14975828621684;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;27.14975828621684;
Standard deviation of max size of solve for extended hyp (max) ;27.14975828621684;
Standard deviation of min size of solve for extended hyp (avg) ;11.258330249197702;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;11.258330249197702;
Standard deviation of min size of solve for extended hyp (max) ;11.258330249197702;
Product of nb of solve for own context (avg) ;1.10584922112E13;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;11058492211200;
Product of nb of solve for own context (max) ;11058492211200;
Product of total size of solve for own context (avg) ;8.0448975473512049E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;8044897547351204608;
Product of total size of solve for own context (max) ;8044897547351204608;
Product of max size of solve for own context (avg) ;3.30264363744E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;330264363744;
Product of max size of solve for own context (max) ;330264363744;
Product of min size of solve for own context (avg) ;52488.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;52488;
Product of min size of solve for own context (max) ;52488;
Max of nb of solve for own context (avg) ;186.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;186;
Max of nb of solve for own context (max) ;186;
Max of total size of solve for own context (avg) ;2457.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;2457;
Max of total size of solve for own context (max) ;2457;
Max of max size of solve for own context (avg) ;41.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;41;
Max of max size of solve for own context (max) ;41;
Max of min size of solve for own context (avg) ;9.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;9;
Max of min size of solve for own context (max) ;9;
Min of nb of solve for own context (avg) ;6.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;6;
Min of nb of solve for own context (max) ;6;
Min of total size of solve for own context (avg) ;90.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;90;
Min of total size of solve for own context (max) ;90;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;3.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;3;
Min of min size of solve for own context (max) ;3;
Sum of nb of solve for own context (avg) ;544.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;544;
Sum of nb of solve for own context (max) ;544;
Sum of total size of solve for own context (avg) ;8872.0;
