;v0.3.1395e1_chain8_Inc_Circuit_8All
Standard deviation of total size of solve for extended hyp (max) ;140.48220527881816;
Standard deviation of max size of solve for extended hyp (avg) ;21.403489785546654;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;21.403489785546654;
Standard deviation of max size of solve for extended hyp (max) ;21.403489785546654;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;2.16560383344805504E17;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;216560383344805500;
Product of nb of solve for own context (max) ;216560383344805500;
Product of total size of solve for own context (avg) ;3.1734271436325489E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;3173427143632549024;
Product of total size of solve for own context (max) ;3173427143632549024;
Product of max size of solve for own context (avg) ;3.54294E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;354294000000;
Product of max size of solve for own context (max) ;354294000000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;273.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;273;
Max of nb of solve for own context (max) ;273;
Max of total size of solve for own context (avg) ;3215.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;3215;
Max of total size of solve for own context (max) ;3215;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;110.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;110;
Min of nb of solve for own context (max) ;110;
Min of total size of solve for own context (avg) ;739.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;739;
Min of total size of solve for own context (max) ;739;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1238.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1238;
Sum of nb of solve for own context (max) ;1238;
Sum of total size of solve for own context (avg) ;10702.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;10702;
Sum of total size of solve for own context (max) ;10702;
Sum of max size of solve for own context (avg) ;231.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;231;
Sum of max size of solve for own context (max) ;231;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;154.75;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;154.75;
Average of nb of solve for own context (max) ;154.75;
Average of total size of solve for own context (avg) ;1337.75;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1337.75;
Average of total size of solve for own context (max) ;1337.75;
Average of max size of solve for own context (avg) ;28.875;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.875;
Average of max size of solve for own context (max) ;28.875;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;54.53611188927938;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;54.53611188927938;
Standard deviation of nb of solve for own context (max) ;54.53611188927938;
Standard deviation of total size of solve for own context (avg) ;758.8706658581553;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;758.8706658581553;
Standard deviation of total size of solve for own context (max) ;758.8706658581553;
Standard deviation of max size of solve for own context (avg) ;7.92839044194974;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;7.92839044194974;
Standard deviation of max size of solve for own context (max) ;7.92839044194974;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.90518586138215731E18;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;1905185861382157200;
Product of nb of solve for external context (max) ;1905185861382157200;
Product of total size of solve for external context (avg) ;3.3620843292945285E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;3362084329294528512;
Product of total size of solve for external context (max) ;3362084329294528512;
Product of max size of solve for external context (avg) ;1.6801991514E10;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;16801991514;
Product of max size of solve for external context (max) ;16801991514;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;300.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;300;
Max of nb of solve for external context (max) ;300;
Max of total size of solve for external context (avg) ;2150.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2150;
Max of total size of solve for external context (max) ;2150;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;131.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;131;
Min of nb of solve for external context (max) ;131;
Min of total size of solve for external context (avg) ;542.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;542;
Min of total size of solve for external context (max) ;542;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;1624.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1624;
Sum of nb of solve for external context (max) ;1624;
Sum of total size of solve for external context (avg) ;8680.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;8680;
Sum of total size of solve for external context (max) ;8680;
Sum of max size of solve for external context (avg) ;161.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;161;
Sum of max size of solve for external context (max) ;161;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;203.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;203.0;
Average of nb of solve for external context (max) ;203.0;
Average of total size of solve for external context (avg) ;1085.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1085.0;
Average of total size of solve for external context (max) ;1085.0;
Average of max size of solve for external context (avg) ;20.125;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;20.125;
Average of max size of solve for external context (max) ;20.125;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;64.82862022286145;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;64.82862022286145;
Standard deviation of nb of solve for external context (max) ;64.82862022286145;
Standard deviation of total size of solve for external context (avg) ;534.5818459319396;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;534.5818459319396;
Standard deviation of total size of solve for external context (max) ;534.5818459319396;
Standard deviation of max size of solve for external context (avg) ;6.734936896512097;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;6.734936896512097;
Standard deviation of max size of solve for external context (max) ;6.734936896512097;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;1.668819245184E13;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;16688192451840;
Product of nb of solve for covered manif. (max) ;16688192451840;
Product of total size of solve for covered manif. (avg) ;-6.5896312522793984E17;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-658963125227939840;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;5.92E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;59200000000;
Product of max size of solve for covered manif. (max) ;59200000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;61.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
