;v0.3.11e1_exEcai-2ag_ECAI-CL_Clique_2Summ
Total size of {Acknowledge} received (min) ;8;
Total size of {Acknowledge} received (max) ;8;
Global Max size of {Confirm context} received (avg) ;20.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;20;
Global Max size of {Confirm context} received (max) ;20;
Nb of {Confirm context} received (avg) ;6.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;6;
Nb of {Confirm context} received (max) ;6;
Total size of {Confirm context} received (avg) ;84.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;84;
Total size of {Confirm context} received (max) ;84;
Global Max size of {Deny} received (avg) ;22.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;22;
Global Max size of {Deny} received (max) ;22;
Nb of {Deny} received (avg) ;1.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;1;
Nb of {Deny} received (max) ;1;
Total size of {Deny} received (avg) ;43.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;43;
Total size of {Deny} received (max) ;43;
Global Max size of {Propose} received (avg) ;33.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;33;
Global Max size of {Propose} received (max) ;33;
Nb of {Propose} received (avg) ;6.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;6;
Nb of {Propose} received (max) ;6;
Total size of {Propose} received (avg) ;125.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;125;
Total size of {Propose} received (max) ;125;
Global Max size of {Acknowledge confirmation} received (avg) ;24.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;24;
Global Max size of {Acknowledge confirmation} received (max) ;24;
Nb of {Acknowledge confirmation} received (avg) ;6.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;6;
Nb of {Acknowledge confirmation} received (max) ;6;
Total size of {Acknowledge confirmation} received (avg) ;88.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;88;
Total size of {Acknowledge confirmation} received (max) ;88;
Global Max size of {Withdraw} received (avg) ;2.0;
Global Max size of {Withdraw} received (stddev) ;0.0;
Global Max size of {Withdraw} received (min) ;2;
Global Max size of {Withdraw} received (max) ;2;
Nb of {Withdraw} received (avg) ;2.0;
Nb of {Withdraw} received (stddev) ;0.0;
Nb of {Withdraw} received (min) ;2;
Nb of {Withdraw} received (max) ;2;
Total size of {Withdraw} received (avg) ;4.0;
Total size of {Withdraw} received (stddev) ;0.0;
Total size of {Withdraw} received (min) ;4;
Total size of {Withdraw} received (max) ;4;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;4.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;4;
Nb of {Argue} received (max) ;4;
Total size of {Argue} received (avg) ;42.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;42;
Total size of {Argue} received (max) ;42;
Global Max size of {Propose again} received (avg) ;16.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;16;
Global Max size of {Propose again} received (max) ;16;
Nb of {Propose again} received (avg) ;0.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;0;
Nb of {Propose again} received (max) ;0;
Total size of {Propose again} received (avg) ;15.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;15;
Total size of {Propose again} received (max) ;15;
Global Max size of {Ask other hypothesis} received (avg) ;10.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;10;
Global Max size of {Ask other hypothesis} received (max) ;10;
Nb of {Ask other hypothesis} received (avg) ;2.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;2;
Nb of {Ask other hypothesis} received (max) ;2;
Total size of {Ask other hypothesis} received (avg) ;12.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;12;
Total size of {Ask other hypothesis} received (max) ;12;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;5.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;5;
Nb of {Completeness counter-example} received (max) ;5;
Total size of {Completeness counter-example} received (avg) ;50.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;50;
Total size of {Completeness counter-example} received (max) ;50;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;2.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;2;
Nb of {End of local conversation} received (max) ;2;
Total size of {End of local conversation} received (avg) ;20.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;20;
Total size of {End of local conversation} received (max) ;20;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;2.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;2;
Nb of {Finish} received (max) ;2;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
