;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Standard deviation of max size of solve for extended hyp (min) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (max) ;3.3541019662496847;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;2.137889376E9;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;2137889376;
Product of nb of solve for own context (max) ;2137889376;
Product of total size of solve for own context (avg) ;2.523045889728E13;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;25230458897280;
Product of total size of solve for own context (max) ;25230458897280;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;327.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;327;
Max of nb of solve for own context (max) ;327;
Max of total size of solve for own context (avg) ;4212.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;4212;
Max of total size of solve for own context (max) ;4212;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;184.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;184;
Min of nb of solve for own context (max) ;184;
Min of total size of solve for own context (avg) ;1756.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;1756;
Min of total size of solve for own context (max) ;1756;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;888.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;888;
Sum of nb of solve for own context (max) ;888;
Sum of total size of solve for own context (avg) ;9662.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;9662;
Sum of total size of solve for own context (max) ;9662;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;222.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;222.0;
Average of nb of solve for own context (max) ;222.0;
Average of total size of solve for own context (avg) ;2415.5;
