;v0.3.13e10_exEcai-3ag_Inc-CL_Clique_3All
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;6400;
Product of max size of solve for covered manif. (max) ;6400;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;8.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;8;
Max of nb of solve for covered manif. (max) ;8;
Max of total size of solve for covered manif. (avg) ;116.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;116;
Max of total size of solve for covered manif. (max) ;116;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;3.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;3;
Min of nb of solve for covered manif. (max) ;3;
Min of total size of solve for covered manif. (avg) ;35.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;35;
Min of total size of solve for covered manif. (max) ;35;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;17.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;17;
Sum of nb of solve for covered manif. (max) ;17;
Sum of total size of solve for covered manif. (avg) ;221.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;221;
Sum of total size of solve for covered manif. (max) ;221;
Sum of max size of solve for covered manif. (avg) ;57.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;57;
Sum of max size of solve for covered manif. (max) ;57;
Sum of min size of solve for covered manif. (avg) ;9.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;9;
Sum of min size of solve for covered manif. (max) ;9;
Average of nb of solve for covered manif. (avg) ;5.666666666666666;
Average of nb of solve for covered manif. (stddev) ;8.881784197001252E-16;
Average of nb of solve for covered manif. (min) ;5.666666666666667;
Average of nb of solve for covered manif. (max) ;5.666666666666667;
Average of total size of solve for covered manif. (avg) ;73.66666666666666;
Average of total size of solve for covered manif. (stddev) ;1.4210854715202004E-14;
Average of total size of solve for covered manif. (min) ;73.66666666666667;
Average of total size of solve for covered manif. (max) ;73.66666666666667;
Average of max size of solve for covered manif. (avg) ;19.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;19.0;
Average of max size of solve for covered manif. (max) ;19.0;
Average of min size of solve for covered manif. (avg) ;3.0;
