;v0.3.139e1_DAREscheduleVariant_ECAI-CL_DARE_8All
Product of nb of solve for own context (avg) ;1.788696E8;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;178869600;
Product of nb of solve for own context (max) ;178869600;
Product of total size of solve for own context (avg) ;2.4135361832638054E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2413536183263805600;
Product of total size of solve for own context (max) ;2413536183263805600;
Product of max size of solve for own context (avg) ;5.4850148441088E13;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;54850148441088;
Product of max size of solve for own context (max) ;54850148441088;
Product of min size of solve for own context (avg) ;262144.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;262144;
Product of min size of solve for own context (max) ;262144;
Max of nb of solve for own context (avg) ;140.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;140;
Max of nb of solve for own context (max) ;140;
Max of total size of solve for own context (avg) ;9141.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;9141;
Max of total size of solve for own context (max) ;9141;
Max of max size of solve for own context (avg) ;196.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;196;
Max of max size of solve for own context (max) ;196;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;1.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;1;
Min of nb of solve for own context (max) ;1;
Min of total size of solve for own context (avg) ;8.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;8;
Min of total size of solve for own context (max) ;8;
Min of max size of solve for own context (avg) ;8.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;8;
Min of max size of solve for own context (max) ;8;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;205.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;205;
Sum of nb of solve for own context (max) ;205;
Sum of total size of solve for own context (avg) ;10338.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;10338;
Sum of total size of solve for own context (max) ;10338;
Sum of max size of solve for own context (avg) ;578.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;578;
Sum of max size of solve for own context (max) ;578;
Sum of min size of solve for own context (avg) ;40.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;40;
Sum of min size of solve for own context (max) ;40;
Average of nb of solve for own context (avg) ;25.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;25.625;
Average of nb of solve for own context (max) ;25.625;
Average of total size of solve for own context (avg) ;1292.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1292.25;
Average of total size of solve for own context (max) ;1292.25;
Average of max size of solve for own context (avg) ;72.25;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;72.25;
Average of max size of solve for own context (max) ;72.25;
Average of min size of solve for own context (avg) ;5.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;5.0;
Average of min size of solve for own context (max) ;5.0;
Standard deviation of nb of solve for own context (avg) ;43.3876062372655;
Standard deviation of nb of solve for own context (stddev) ;0.0;
