;v0.3.135e1_chain8_ECAI_Ligne_8Summ
Total size of {Confirm context} received (avg) ;12188.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;12188;
Total size of {Confirm context} received (max) ;12188;
Global Max size of {Deny} received (avg) ;58.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;58;
Global Max size of {Deny} received (max) ;58;
Nb of {Deny} received (avg) ;243.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;243;
Nb of {Deny} received (max) ;243;
Total size of {Deny} received (avg) ;7290.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;7290;
Total size of {Deny} received (max) ;7290;
Global Max size of {Propose} received (avg) ;121.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;121;
Global Max size of {Propose} received (max) ;121;
Nb of {Propose} received (avg) ;384.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;384;
Nb of {Propose} received (max) ;384;
Total size of {Propose} received (avg) ;13680.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;13680;
Total size of {Propose} received (max) ;13680;
Global Max size of {Acknowledge confirmation} received (avg) ;121.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;121;
Global Max size of {Acknowledge confirmation} received (max) ;121;
Nb of {Acknowledge confirmation} received (avg) ;316.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;316;
Nb of {Acknowledge confirmation} received (max) ;316;
Total size of {Acknowledge confirmation} received (avg) ;11485.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;11485;
Total size of {Acknowledge confirmation} received (max) ;11485;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;6.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;6;
Nb of {Withdraw incomplete} received (max) ;6;
Total size of {Withdraw incomplete} received (avg) ;13.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;13;
Total size of {Withdraw incomplete} received (max) ;13;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;7;
Global Max size of {Ask other hypothesis} received (max) ;7;
Nb of {Ask other hypothesis} received (avg) ;64.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;64;
Nb of {Ask other hypothesis} received (max) ;64;
Total size of {Ask other hypothesis} received (avg) ;429.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;429;
Total size of {Ask other hypothesis} received (max) ;429;
Global Max size of {Accept} received (avg) ;121.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;121;
Global Max size of {Accept} received (max) ;121;
Nb of {Accept} received (avg) ;95.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;95;
Nb of {Accept} received (max) ;95;
Total size of {Accept} received (avg) ;5857.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;5857;
Total size of {Accept} received (max) ;5857;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;190.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;190;
Nb of {End of local conversation} received (max) ;190;
Total size of {End of local conversation} received (avg) ;1900.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;1900;
Total size of {End of local conversation} received (max) ;1900;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;95.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;95;
Nb of {Request} received (max) ;95;
Total size of {Request} received (avg) ;1710.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;1710;
Total size of {Request} received (max) ;1710;
Global Max size of {Argue} received (avg) ;14.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;14;
Global Max size of {Argue} received (max) ;14;
Nb of {Argue} received (avg) ;107.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;107;
Nb of {Argue} received (max) ;107;
Total size of {Argue} received (avg) ;1472.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;1472;
Total size of {Argue} received (max) ;1472;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;266.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;266;
Nb of {Acknowledge} received (max) ;266;
Total size of {Acknowledge} received (avg) ;532.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;532;
Total size of {Acknowledge} received (max) ;532;
Global Max size of {Check Context} received (avg) ;87.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;87;
Global Max size of {Check Context} received (max) ;87;
Nb of {Check Context} received (avg) ;240.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;240;
Nb of {Check Context} received (max) ;240;
