;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;33.094561486745825;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;33.094561486745825;
Standard deviation of nb of solve for own context (max) ;33.094561486745825;
Standard deviation of total size of solve for own context (avg) ;442.1419455333321;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;442.1419455333321;
Standard deviation of total size of solve for own context (max) ;442.1419455333321;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.2846288E8;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;128462880;
Product of nb of solve for external context (max) ;128462880;
Product of total size of solve for external context (avg) ;2.1799624124E11;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;217996241240;
Product of total size of solve for external context (max) ;217996241240;
Product of max size of solve for external context (avg) ;257754.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;257754;
Product of max size of solve for external context (max) ;257754;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;173.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;173;
Max of nb of solve for external context (max) ;173;
Max of total size of solve for external context (avg) ;1087.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1087;
Max of total size of solve for external context (max) ;1087;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;68.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;68;
Min of nb of solve for external context (max) ;68;
Min of total size of solve for external context (avg) ;397.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;397;
Min of total size of solve for external context (max) ;397;
Min of max size of solve for external context (avg) ;19.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;19;
Min of max size of solve for external context (max) ;19;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;455.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;455;
Sum of nb of solve for external context (max) ;455;
Sum of total size of solve for external context (avg) ;2906.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;2906;
Sum of total size of solve for external context (max) ;2906;
Sum of max size of solve for external context (avg) ;93.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;93;
Sum of max size of solve for external context (max) ;93;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;113.75;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;113.75;
Average of nb of solve for external context (max) ;113.75;
Average of total size of solve for external context (avg) ;726.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;726.5;
Average of total size of solve for external context (max) ;726.5;
Average of max size of solve for external context (avg) ;23.25;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;23.25;
Average of max size of solve for external context (max) ;23.25;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;41.08755894428385;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;41.08755894428385;
Standard deviation of nb of solve for external context (max) ;41.08755894428385;
Standard deviation of total size of solve for external context (avg) ;244.81268349495292;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;244.81268349495292;
Standard deviation of total size of solve for external context (max) ;244.81268349495292;
Standard deviation of max size of solve for external context (avg) ;6.2599920127744575;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;6.2599920127744575;
Standard deviation of max size of solve for external context (max) ;6.2599920127744575;
