;v0.3.1395e1_DAREscheduleBis_Inc-CL_DARE_8All
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1188;
Sum of nb of solve for own context (max) ;1188;
Sum of total size of solve for own context (avg) ;29848.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;29848;
Sum of total size of solve for own context (max) ;29848;
Sum of max size of solve for own context (avg) ;648.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;648;
Sum of max size of solve for own context (max) ;648;
Sum of min size of solve for own context (avg) ;64.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;64;
Sum of min size of solve for own context (max) ;64;
Average of nb of solve for own context (avg) ;148.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;148.5;
Average of nb of solve for own context (max) ;148.5;
Average of total size of solve for own context (avg) ;3731.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;3731.0;
Average of total size of solve for own context (max) ;3731.0;
Average of max size of solve for own context (avg) ;81.0;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;81.0;
Average of max size of solve for own context (max) ;81.0;
Average of min size of solve for own context (avg) ;8.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;8.0;
Average of min size of solve for own context (max) ;8.0;
Standard deviation of nb of solve for own context (avg) ;131.03434664239754;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;131.03434664239754;
Standard deviation of nb of solve for own context (max) ;131.03434664239754;
Standard deviation of total size of solve for own context (avg) ;3506.8660154046374;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;3506.8660154046374;
Standard deviation of total size of solve for own context (max) ;3506.8660154046374;
Standard deviation of max size of solve for own context (avg) ;28.19574435974337;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;28.19574435974337;
Standard deviation of max size of solve for own context (max) ;28.19574435974337;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.440384237761196E16;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;14403842377611960;
Product of nb of solve for external context (max) ;14403842377611960;
Product of total size of solve for external context (avg) ;-1.25713947987496141E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-1257139479874961408;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;4.03163203905E13;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;40316320390500;
Product of max size of solve for external context (max) ;40316320390500;
Product of min size of solve for external context (avg) ;36864.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;36864;
Product of min size of solve for external context (max) ;36864;
Max of nb of solve for external context (avg) ;401.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;401;
Max of nb of solve for external context (max) ;401;
Max of total size of solve for external context (avg) ;6866.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;6866;
Max of total size of solve for external context (max) ;6866;
Max of max size of solve for external context (avg) ;114.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;114;
Max of max size of solve for external context (max) ;114;
Max of min size of solve for external context (avg) ;9.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;9;
Max of min size of solve for external context (max) ;9;
Min of nb of solve for external context (avg) ;49.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;49;
Min of nb of solve for external context (max) ;49;
Min of total size of solve for external context (avg) ;645.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;645;
Min of total size of solve for external context (max) ;645;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;1058.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1058;
Sum of nb of solve for external context (max) ;1058;
Sum of total size of solve for external context (avg) ;17686.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;17686;
Sum of total size of solve for external context (max) ;17686;
Sum of max size of solve for external context (avg) ;470.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;470;
Sum of max size of solve for external context (max) ;470;
Sum of min size of solve for external context (avg) ;34.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;34;
Sum of min size of solve for external context (max) ;34;
Average of nb of solve for external context (avg) ;132.25;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;132.25;
Average of nb of solve for external context (max) ;132.25;
Average of total size of solve for external context (avg) ;2210.75;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;2210.75;
Average of total size of solve for external context (max) ;2210.75;
Average of max size of solve for external context (avg) ;58.75;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;58.75;
Average of max size of solve for external context (max) ;58.75;
Average of min size of solve for external context (avg) ;4.25;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.25;
Average of min size of solve for external context (max) ;4.25;
Standard deviation of nb of solve for external context (avg) ;107.50436037668426;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;107.50436037668426;
Standard deviation of nb of solve for external context (max) ;107.50436037668426;
Standard deviation of total size of solve for external context (avg) ;1971.1617608659112;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1971.1617608659112;
Standard deviation of total size of solve for external context (max) ;1971.1617608659112;
Standard deviation of max size of solve for external context (avg) ;31.083556746292725;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;31.083556746292725;
Standard deviation of max size of solve for external context (max) ;31.083556746292725;
Standard deviation of min size of solve for external context (avg) ;2.0463381929681126;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;2.0463381929681126;
Standard deviation of min size of solve for external context (max) ;2.0463381929681126;
Product of nb of solve for covered manif. (avg) ;2.5695278923776E16;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;25695278923776000;
Product of nb of solve for covered manif. (max) ;25695278923776000;
Product of total size of solve for covered manif. (avg) ;-8.5605375956938025E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-8560537595693802816;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;1.82431098599904E14;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;182431098599904;
Product of max size of solve for covered manif. (max) ;182431098599904;
Product of min size of solve for covered manif. (avg) ;6561.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;6561;
Product of min size of solve for covered manif. (max) ;6561;
Max of nb of solve for covered manif. (avg) ;350.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;350;
Max of nb of solve for covered manif. (max) ;350;
Max of total size of solve for covered manif. (avg) ;9201.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;9201;
Max of total size of solve for covered manif. (max) ;9201;
Max of max size of solve for covered manif. (avg) ;92.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;92;
Max of max size of solve for covered manif. (max) ;92;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;47.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;47;
Min of nb of solve for covered manif. (max) ;47;
Min of total size of solve for covered manif. (avg) ;829.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;829;
Min of total size of solve for covered manif. (max) ;829;
Min of max size of solve for covered manif. (avg) ;42.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;42;
Min of max size of solve for covered manif. (max) ;42;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;1078.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;1078;
Sum of nb of solve for covered manif. (max) ;1078;
Sum of total size of solve for covered manif. (avg) ;24216.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;24216;
Sum of total size of solve for covered manif. (max) ;24216;
Sum of max size of solve for covered manif. (avg) ;500.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;500;
Sum of max size of solve for covered manif. (max) ;500;
Sum of min size of solve for covered manif. (avg) ;24.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;24;
Sum of min size of solve for covered manif. (max) ;24;
Average of nb of solve for covered manif. (avg) ;134.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;134.75;
