;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6Summ
Total size of {Ask other hypothesis} sent (min) ;4021;
Total size of {Ask other hypothesis} sent (max) ;4021;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;-4.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;-4;
Nb of {Withdraw} sent (max) ;0;
Total size of {Withdraw} sent (avg) ;-3.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;-3;
Total size of {Withdraw} sent (max) ;0;
Global Max size of {Accept} sent (avg) ;334.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;334;
Global Max size of {Accept} sent (max) ;334;
Nb of {Accept} sent (avg) ;0.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;0;
Nb of {Accept} sent (max) ;0;
Total size of {Accept} sent (avg) ;746.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;746;
Total size of {Accept} sent (max) ;746;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;10.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;10;
Nb of {New neighbour} received (max) ;10;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;6.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;6;
Nb of {Start} received (max) ;6;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-4.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-4;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-5.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-5;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;1.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;1;
Nb of {Accept Request} received (max) ;1;
Total size of {Accept Request} received (avg) ;37.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;37;
Total size of {Accept Request} received (max) ;37;
Global Max size of {Confirm context} received (avg) ;496.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;496;
Global Max size of {Confirm context} received (max) ;496;
Nb of {Confirm context} received (avg) ;39.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;39;
Nb of {Confirm context} received (max) ;39;
Total size of {Confirm context} received (avg) ;11292.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;11292;
Total size of {Confirm context} received (max) ;11292;
Global Max size of {Completeness counter-example} received (avg) ;407.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;407;
Global Max size of {Completeness counter-example} received (max) ;407;
Nb of {Completeness counter-example} received (avg) ;21.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;21;
Nb of {Completeness counter-example} received (max) ;21;
Total size of {Completeness counter-example} received (avg) ;2279.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;2279;
Total size of {Completeness counter-example} received (max) ;2279;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;21.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;21;
Nb of {Acknowledge} received (max) ;21;
