;v0.3.1395e1_chain8_ECAI-CL_Circuit_8All
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;1670;
Sum of total size of solve for own context (max) ;1670;
Sum of max size of solve for own context (avg) ;227.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;227;
Sum of max size of solve for own context (max) ;227;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;17.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;17.625;
Average of nb of solve for own context (max) ;17.625;
Average of total size of solve for own context (avg) ;208.75;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;208.75;
Average of total size of solve for own context (max) ;208.75;
Average of max size of solve for own context (avg) ;28.375;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.375;
Average of max size of solve for own context (max) ;28.375;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;7.157819151110204;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;7.157819151110204;
Standard deviation of nb of solve for own context (max) ;7.157819151110204;
Standard deviation of total size of solve for own context (avg) ;110.68959978245472;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;110.68959978245472;
Standard deviation of total size of solve for own context (max) ;110.68959978245472;
Standard deviation of max size of solve for own context (avg) ;8.061288668693114;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;8.061288668693114;
Standard deviation of max size of solve for own context (max) ;8.061288668693114;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;2.5279764048E10;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;25279764048;
Product of nb of solve for external context (max) ;25279764048;
Product of total size of solve for external context (avg) ;1.69374804309006336E17;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;169374804309006336;
Product of total size of solve for external context (max) ;169374804309006336;
Product of max size of solve for external context (avg) ;6.14319552E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6143195520;
Product of max size of solve for external context (max) ;6143195520;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;63.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;63;
Max of nb of solve for external context (max) ;63;
Max of total size of solve for external context (avg) ;496.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;496;
Max of total size of solve for external context (max) ;496;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;11.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;11;
Min of nb of solve for external context (max) ;11;
Min of total size of solve for external context (avg) ;76.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;76;
Min of total size of solve for external context (max) ;76;
Min of max size of solve for external context (avg) ;10.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;10;
Min of max size of solve for external context (max) ;10;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;196.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;196;
Sum of nb of solve for external context (max) ;196;
Sum of total size of solve for external context (avg) ;1436.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;1436;
Sum of total size of solve for external context (max) ;1436;
Sum of max size of solve for external context (avg) ;140.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;140;
Sum of max size of solve for external context (max) ;140;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;24.5;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;24.5;
Average of nb of solve for external context (max) ;24.5;
Average of total size of solve for external context (avg) ;179.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;179.5;
Average of total size of solve for external context (max) ;179.5;
Average of max size of solve for external context (avg) ;17.5;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.5;
Average of max size of solve for external context (max) ;17.5;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;17.92344832893492;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;17.92344832893492;
Standard deviation of nb of solve for external context (max) ;17.92344832893492;
Standard deviation of total size of solve for external context (avg) ;139.51164825920452;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;139.51164825920452;
Standard deviation of total size of solve for external context (max) ;139.51164825920452;
Standard deviation of max size of solve for external context (avg) ;5.1478150704935;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.1478150704935;
