;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2Summ
Nb of {Check Context} sent (max) ;2;
Total size of {Check Context} sent (avg) ;152.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;152;
Total size of {Check Context} sent (max) ;152;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;0.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;0;
Nb of {Withdraw} sent (max) ;0;
Total size of {Withdraw} sent (avg) ;1.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;1;
Total size of {Withdraw} sent (max) ;1;
Global Max size of {Acknowledge confirmation} sent (avg) ;24.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;24;
Global Max size of {Acknowledge confirmation} sent (max) ;24;
Nb of {Acknowledge confirmation} sent (avg) ;5.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;5;
Nb of {Acknowledge confirmation} sent (max) ;5;
Total size of {Acknowledge confirmation} sent (avg) ;84.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;84;
Total size of {Acknowledge confirmation} sent (max) ;84;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;4.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;4;
Nb of {Acknowledge} sent (max) ;4;
Total size of {Acknowledge} sent (avg) ;8.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
