;v0.3.1395e1_chain8_ECAI-CL_Ligne_8All
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;7.725768570181222;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;7.725768570181222;
Standard deviation of nb of solve for covered manif. (max) ;7.725768570181222;
Standard deviation of total size of solve for covered manif. (avg) ;114.04028893334144;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
