;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;209.0;
Average of nb of solve for own context (max) ;209.0;
Average of total size of solve for own context (avg) ;5363.125;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;5363.125;
Average of total size of solve for own context (max) ;5363.125;
Average of max size of solve for own context (avg) ;87.5;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;87.5;
Average of max size of solve for own context (max) ;87.5;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;168.36567346107103;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;168.36567346107103;
Standard deviation of nb of solve for own context (max) ;168.36567346107103;
Standard deviation of total size of solve for own context (avg) ;4542.195791616099;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;4542.195791616099;
Standard deviation of total size of solve for own context (max) ;4542.195791616099;
Standard deviation of max size of solve for own context (avg) ;40.96034667822039;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;40.96034667822039;
Standard deviation of max size of solve for own context (max) ;40.96034667822039;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;3.473892459185897E18;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;3473892459185896768;
Product of nb of solve for external context (max) ;3473892459185896768;
Product of total size of solve for external context (avg) ;-8.6780743753087713E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-8678074375308771072;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;1.1521352115E15;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;1152135211500000;
Product of max size of solve for external context (max) ;1152135211500000;
Product of min size of solve for external context (avg) ;16384.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16384;
Product of min size of solve for external context (max) ;16384;
Max of nb of solve for external context (avg) ;806.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;806;
Max of nb of solve for external context (max) ;806;
Max of total size of solve for external context (avg) ;14388.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;14388;
Max of total size of solve for external context (max) ;14388;
Max of max size of solve for external context (avg) ;185.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;185;
Max of max size of solve for external context (max) ;185;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;100.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;100;
Min of nb of solve for external context (max) ;100;
Min of total size of solve for external context (avg) ;1117.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;1117;
Min of total size of solve for external context (max) ;1117;
Min of max size of solve for external context (avg) ;35.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;35;
Min of max size of solve for external context (max) ;35;
