;v0.3.135e1_chain8_ECAI-CL_Ligne_8Summ
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;148.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;148;
Nb of {Accept Request} received (max) ;148;
Total size of {Accept Request} received (avg) ;1480.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;1480;
Total size of {Accept Request} received (max) ;1480;
Global Max size of {Confirm context} received (avg) ;32.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;32;
Global Max size of {Confirm context} received (max) ;32;
Nb of {Confirm context} received (avg) ;526.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;526;
Nb of {Confirm context} received (max) ;526;
Total size of {Confirm context} received (avg) ;8382.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;8382;
Total size of {Confirm context} received (max) ;8382;
Global Max size of {Deny} received (avg) ;37.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;37;
Global Max size of {Deny} received (max) ;37;
Nb of {Deny} received (avg) ;245.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;245;
Nb of {Deny} received (max) ;245;
Total size of {Deny} received (avg) ;4853.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;4853;
Total size of {Deny} received (max) ;4853;
Global Max size of {Propose} received (avg) ;44.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;44;
Global Max size of {Propose} received (max) ;44;
Nb of {Propose} received (avg) ;409.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;409;
Nb of {Propose} received (max) ;409;
Total size of {Propose} received (avg) ;7907.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;7907;
Total size of {Propose} received (max) ;7907;
Global Max size of {Acknowledge confirmation} received (avg) ;44.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;44;
Global Max size of {Acknowledge confirmation} received (max) ;44;
Nb of {Acknowledge confirmation} received (avg) ;448.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;448;
Nb of {Acknowledge confirmation} received (max) ;448;
Total size of {Acknowledge confirmation} received (avg) ;8800.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;8800;
Total size of {Acknowledge confirmation} received (max) ;8800;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;6.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;6;
Nb of {Withdraw incomplete} received (max) ;6;
Total size of {Withdraw incomplete} received (avg) ;13.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;13;
Total size of {Withdraw incomplete} received (max) ;13;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;7;
Global Max size of {Ask other hypothesis} received (max) ;7;
Nb of {Ask other hypothesis} received (avg) ;131.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;131;
Nb of {Ask other hypothesis} received (max) ;131;
Total size of {Ask other hypothesis} received (avg) ;892.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;892;
Total size of {Ask other hypothesis} received (max) ;892;
Global Max size of {Accept} received (avg) ;44.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;44;
Global Max size of {Accept} received (max) ;44;
Nb of {Accept} received (avg) ;148.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;148;
Nb of {Accept} received (max) ;148;
Total size of {Accept} received (avg) ;3424.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;3424;
Total size of {Accept} received (max) ;3424;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;296.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;296;
Nb of {End of local conversation} received (max) ;296;
Total size of {End of local conversation} received (avg) ;2960.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;2960;
Total size of {End of local conversation} received (max) ;2960;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;148.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;148;
Nb of {Request} received (max) ;148;
Total size of {Request} received (avg) ;2664.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;2664;
Total size of {Request} received (max) ;2664;
Global Max size of {Argue} received (avg) ;14.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;14;
Global Max size of {Argue} received (max) ;14;
Nb of {Argue} received (avg) ;33.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;33;
Nb of {Argue} received (max) ;33;
Total size of {Argue} received (avg) ;436.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;436;
Total size of {Argue} received (max) ;436;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;259.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;259;
Nb of {Acknowledge} received (max) ;259;
Total size of {Acknowledge} received (avg) ;518.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;518;
Total size of {Acknowledge} received (max) ;518;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;7;
Global Max size of {Completeness counter-example} received (max) ;7;
Nb of {Completeness counter-example} received (avg) ;40.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;40;
Nb of {Completeness counter-example} received (max) ;40;
Total size of {Completeness counter-example} received (avg) ;280.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;280;
Total size of {Completeness counter-example} received (max) ;280;
Global Max size of {Propose again} received (avg) ;32.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;32;
Global Max size of {Propose again} received (max) ;32;
Nb of {Propose again} received (avg) ;124.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;124;
Nb of {Propose again} received (max) ;124;
Total size of {Propose again} received (avg) ;2480.0;
