;v0.3.135e1_chain8_Inc_Ligne_8All
Min of nb of solve for own context (min) ;98;
Min of nb of solve for own context (max) ;98;
Min of total size of solve for own context (avg) ;826.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;826;
Min of total size of solve for own context (max) ;826;
Min of max size of solve for own context (avg) ;21.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;21;
Min of max size of solve for own context (max) ;21;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1544.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1544;
Sum of nb of solve for own context (max) ;1544;
Sum of total size of solve for own context (avg) ;14332.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;14332;
Sum of total size of solve for own context (max) ;14332;
Sum of max size of solve for own context (avg) ;246.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;246;
Sum of max size of solve for own context (max) ;246;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;193.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;193.0;
Average of nb of solve for own context (max) ;193.0;
Average of total size of solve for own context (avg) ;1791.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1791.5;
Average of total size of solve for own context (max) ;1791.5;
Average of max size of solve for own context (avg) ;30.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;30.75;
Average of max size of solve for own context (max) ;30.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;85.83122974768565;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;85.83122974768565;
Standard deviation of nb of solve for own context (max) ;85.83122974768565;
Standard deviation of total size of solve for own context (avg) ;980.4741200052147;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;980.4741200052147;
Standard deviation of total size of solve for own context (max) ;980.4741200052147;
Standard deviation of max size of solve for own context (avg) ;6.139014578904337;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.139014578904337;
Standard deviation of max size of solve for own context (max) ;6.139014578904337;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7.4774206641670492E18;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;7477420664167049216;
Product of nb of solve for external context (max) ;7477420664167049216;
Product of total size of solve for external context (avg) ;-5.7167876416333691E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-5716787641633369024;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;3.2076529254E10;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;32076529254;
Product of max size of solve for external context (max) ;32076529254;
Product of min size of solve for external context (avg) ;1024.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;1024;
Product of min size of solve for external context (max) ;1024;
Max of nb of solve for external context (avg) ;423.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;423;
Max of nb of solve for external context (max) ;423;
Max of total size of solve for external context (avg) ;2858.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2858;
Max of total size of solve for external context (max) ;2858;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;153.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;153;
Min of nb of solve for external context (max) ;153;
Min of total size of solve for external context (avg) ;717.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;717;
Min of total size of solve for external context (max) ;717;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;2260.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;2260;
Sum of nb of solve for external context (max) ;2260;
Sum of total size of solve for external context (avg) ;12477.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;12477;
Sum of total size of solve for external context (max) ;12477;
Sum of max size of solve for external context (avg) ;171.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;171;
Sum of max size of solve for external context (max) ;171;
Sum of min size of solve for external context (avg) ;20.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;20;
Sum of min size of solve for external context (max) ;20;
Average of nb of solve for external context (avg) ;282.5;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;282.5;
Average of nb of solve for external context (max) ;282.5;
Average of total size of solve for external context (avg) ;1559.625;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1559.625;
Average of total size of solve for external context (max) ;1559.625;
Average of max size of solve for external context (avg) ;21.375;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.375;
Average of max size of solve for external context (max) ;21.375;
Average of min size of solve for external context (avg) ;2.5;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.5;
Average of min size of solve for external context (max) ;2.5;
Standard deviation of nb of solve for external context (avg) ;89.84570106577165;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;89.84570106577165;
Standard deviation of nb of solve for external context (max) ;89.84570106577165;
Standard deviation of total size of solve for external context (avg) ;708.9308741866163;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;708.9308741866163;
Standard deviation of total size of solve for external context (max) ;708.9308741866163;
Standard deviation of max size of solve for external context (avg) ;5.786568499551353;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.786568499551353;
Standard deviation of max size of solve for external context (max) ;5.786568499551353;
Standard deviation of min size of solve for external context (avg) ;0.8660254037844386;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.8660254037844386;
Standard deviation of min size of solve for external context (max) ;0.8660254037844386;
Product of nb of solve for covered manif. (avg) ;1.3517415054E14;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;135174150540000;
Product of nb of solve for covered manif. (max) ;135174150540000;
Product of total size of solve for covered manif. (avg) ;1.81363753363301325E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;1813637533633013176;
Product of total size of solve for covered manif. (max) ;1813637533633013176;
Product of max size of solve for covered manif. (avg) ;1.4453125E11;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;144531250000;
Product of max size of solve for covered manif. (max) ;144531250000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;74.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;74;
Max of nb of solve for covered manif. (max) ;74;
Max of total size of solve for covered manif. (avg) ;1378.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1378;
Max of total size of solve for covered manif. (max) ;1378;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;34.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;34;
Min of nb of solve for covered manif. (max) ;34;
Min of total size of solve for covered manif. (avg) ;473.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;473;
Min of total size of solve for covered manif. (max) ;473;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;479.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;479;
Sum of nb of solve for covered manif. (max) ;479;
Sum of total size of solve for covered manif. (avg) ;6844.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;6844;
Sum of total size of solve for covered manif. (max) ;6844;
Sum of max size of solve for covered manif. (avg) ;203.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;203;
Sum of max size of solve for covered manif. (max) ;203;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;59.875;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;59.875;
Average of nb of solve for covered manif. (max) ;59.875;
Average of total size of solve for covered manif. (avg) ;855.5;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;855.5;
Average of total size of solve for covered manif. (max) ;855.5;
Average of max size of solve for covered manif. (avg) ;25.375;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;25.375;
Average of max size of solve for covered manif. (max) ;25.375;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;12.118554988116363;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;12.118554988116363;
Standard deviation of nb of solve for covered manif. (max) ;12.118554988116363;
Standard deviation of total size of solve for covered manif. (avg) ;254.34228905158497;
