;v0.3.1395e1_chain8-4_Inc-CL_Circuit_4All
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;68.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;68;
Min of nb of solve for external context (max) ;68;
Min of total size of solve for external context (avg) ;386.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;386;
Min of total size of solve for external context (max) ;386;
Min of max size of solve for external context (avg) ;19.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;19;
Min of max size of solve for external context (max) ;19;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;376.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;376;
Sum of nb of solve for external context (max) ;376;
Sum of total size of solve for external context (avg) ;2461.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;2461;
Sum of total size of solve for external context (max) ;2461;
Sum of max size of solve for external context (avg) ;87.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;87;
Sum of max size of solve for external context (max) ;87;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;94.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;94.0;
Average of nb of solve for external context (max) ;94.0;
Average of total size of solve for external context (avg) ;615.25;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;615.25;
Average of total size of solve for external context (max) ;615.25;
Average of max size of solve for external context (avg) ;21.75;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.75;
Average of max size of solve for external context (max) ;21.75;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;19.235384061671343;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;19.235384061671343;
Standard deviation of nb of solve for external context (max) ;19.235384061671343;
Standard deviation of total size of solve for external context (avg) ;147.28098146060813;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;147.28098146060813;
Standard deviation of total size of solve for external context (max) ;147.28098146060813;
Standard deviation of max size of solve for external context (avg) ;4.763139720814412;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;4.763139720814412;
Standard deviation of max size of solve for external context (max) ;4.763139720814412;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;715392.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;715392;
Product of nb of solve for covered manif. (max) ;715392;
Product of total size of solve for covered manif. (avg) ;2.363351991E10;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;23633519910;
Product of total size of solve for covered manif. (max) ;23633519910;
Product of max size of solve for covered manif. (avg) ;578125.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;578125;
Product of max size of solve for covered manif. (max) ;578125;
Product of min size of solve for covered manif. (avg) ;81.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;81;
Product of min size of solve for covered manif. (max) ;81;
Max of nb of solve for covered manif. (avg) ;36.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;36;
Max of nb of solve for covered manif. (max) ;36;
Max of total size of solve for covered manif. (avg) ;479.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;479;
Max of total size of solve for covered manif. (max) ;479;
