;v0.3.139e1_DAREscheduleVariant_Inc_DARE_8All
Max of total size of solve for own context (max) ;8152;
Max of max size of solve for own context (avg) ;196.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;196;
Max of max size of solve for own context (max) ;196;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;9.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;9;
Min of nb of solve for own context (max) ;9;
Min of total size of solve for own context (avg) ;203.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;203;
Min of total size of solve for own context (max) ;203;
Min of max size of solve for own context (avg) ;51.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;51;
Min of max size of solve for own context (max) ;51;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;237.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;237;
Sum of nb of solve for own context (max) ;237;
Sum of total size of solve for own context (avg) ;11914.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;11914;
Sum of total size of solve for own context (max) ;11914;
Sum of max size of solve for own context (avg) ;687.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;687;
Sum of max size of solve for own context (max) ;687;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;29.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;29.625;
Average of nb of solve for own context (max) ;29.625;
Average of total size of solve for own context (avg) ;1489.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1489.25;
Average of total size of solve for own context (max) ;1489.25;
Average of max size of solve for own context (avg) ;85.875;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;85.875;
Average of max size of solve for own context (max) ;85.875;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;34.08789191193847;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;34.08789191193847;
Standard deviation of nb of solve for own context (max) ;34.08789191193847;
Standard deviation of total size of solve for own context (avg) ;2558.476047865213;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;2558.476047865213;
Standard deviation of total size of solve for own context (max) ;2558.476047865213;
Standard deviation of max size of solve for own context (avg) ;49.21493040734691;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;49.21493040734691;
Standard deviation of max size of solve for own context (max) ;49.21493040734691;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.3485636864E13;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;13485636864000;
Product of nb of solve for external context (max) ;13485636864000;
Product of total size of solve for external context (avg) ;7.1951172790953185E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;7195117279095318656;
Product of total size of solve for external context (max) ;7195117279095318656;
Product of max size of solve for external context (avg) ;7.116992886696E13;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;71169928866960;
Product of max size of solve for external context (max) ;71169928866960;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;74.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;74;
Max of nb of solve for external context (max) ;74;
Max of total size of solve for external context (avg) ;1378.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1378;
Max of total size of solve for external context (max) ;1378;
Max of max size of solve for external context (avg) ;95.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;95;
Max of max size of solve for external context (max) ;95;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;25.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;25;
Min of nb of solve for external context (max) ;25;
Min of total size of solve for external context (avg) ;340.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;340;
Min of total size of solve for external context (max) ;340;
Min of max size of solve for external context (avg) ;16.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;16;
Min of max size of solve for external context (max) ;16;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;368.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;368;
Sum of nb of solve for external context (max) ;368;
Sum of total size of solve for external context (avg) ;5767.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;5767;
Sum of total size of solve for external context (max) ;5767;
Sum of max size of solve for external context (avg) ;475.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;475;
Sum of max size of solve for external context (max) ;475;
Sum of min size of solve for external context (avg) ;14.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;14;
Sum of min size of solve for external context (max) ;14;
Average of nb of solve for external context (avg) ;46.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;46.0;
Average of nb of solve for external context (max) ;46.0;
Average of total size of solve for external context (avg) ;720.875;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;720.875;
Average of total size of solve for external context (max) ;720.875;
Average of max size of solve for external context (avg) ;59.375;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;59.375;
Average of max size of solve for external context (max) ;59.375;
Average of min size of solve for external context (avg) ;1.75;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;1.75;
Average of min size of solve for external context (max) ;1.75;
Standard deviation of nb of solve for external context (avg) ;14.291605927956452;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;14.291605927956452;
Standard deviation of nb of solve for external context (max) ;14.291605927956452;
Standard deviation of total size of solve for external context (avg) ;328.8724819363882;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;328.8724819363882;
Standard deviation of total size of solve for external context (max) ;328.8724819363882;
Standard deviation of max size of solve for external context (avg) ;21.295172575022725;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;21.295172575022725;
Standard deviation of max size of solve for external context (max) ;21.295172575022725;
Standard deviation of min size of solve for external context (avg) ;1.299038105676658;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.299038105676658;
Standard deviation of min size of solve for external context (max) ;1.299038105676658;
Product of nb of solve for covered manif. (avg) ;2.02420224E11;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;202420224000;
Product of nb of solve for covered manif. (max) ;202420224000;
Product of total size of solve for covered manif. (avg) ;8.1032106034701926E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;8103210603470192640;
Product of total size of solve for covered manif. (max) ;8103210603470192640;
Product of max size of solve for covered manif. (avg) ;3.8848702464E12;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;3884870246400;
Product of max size of solve for covered manif. (max) ;3884870246400;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;60.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;60;
Max of nb of solve for covered manif. (max) ;60;
Max of total size of solve for covered manif. (avg) ;1270.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1270;
Max of total size of solve for covered manif. (max) ;1270;
Max of max size of solve for covered manif. (avg) ;48.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;48;
Max of max size of solve for covered manif. (max) ;48;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;4.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;4;
Min of nb of solve for covered manif. (max) ;4;
Min of total size of solve for covered manif. (avg) ;64.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;64;
Min of total size of solve for covered manif. (max) ;64;
Min of max size of solve for covered manif. (avg) ;33.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;33;
Min of max size of solve for covered manif. (max) ;33;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;252.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;252;
Sum of nb of solve for covered manif. (max) ;252;
Sum of total size of solve for covered manif. (avg) ;3989.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;3989;
Sum of total size of solve for covered manif. (max) ;3989;
Sum of max size of solve for covered manif. (avg) ;302.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;302;
Sum of max size of solve for covered manif. (max) ;302;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;31.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;31.5;
Average of nb of solve for covered manif. (max) ;31.5;
Average of total size of solve for covered manif. (avg) ;498.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;498.625;
Average of total size of solve for covered manif. (max) ;498.625;
Average of max size of solve for covered manif. (avg) ;37.75;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;37.75;
Average of max size of solve for covered manif. (max) ;37.75;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;14.823967080373594;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;14.823967080373594;
