;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Sum of total size of solve for own context (avg) ;17130.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;17130;
Sum of total size of solve for own context (max) ;17130;
Sum of max size of solve for own context (avg) ;242.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;242;
Sum of max size of solve for own context (max) ;242;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;143.375;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;143.375;
Average of nb of solve for own context (max) ;143.375;
Average of total size of solve for own context (avg) ;2141.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;2141.25;
Average of total size of solve for own context (max) ;2141.25;
Average of max size of solve for own context (avg) ;30.25;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;30.25;
Average of max size of solve for own context (max) ;30.25;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;64.24355512423017;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;64.24355512423017;
Standard deviation of nb of solve for own context (max) ;64.24355512423017;
Standard deviation of total size of solve for own context (avg) ;957.1402392021766;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;957.1402392021766;
Standard deviation of total size of solve for own context (max) ;957.1402392021766;
Standard deviation of max size of solve for own context (avg) ;6.219927652312364;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.219927652312364;
Standard deviation of max size of solve for own context (max) ;6.219927652312364;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;5.2523050145182157E17;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;525230501451821550;
Product of nb of solve for external context (max) ;525230501451821550;
Product of total size of solve for external context (avg) ;8.5669839186295849E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;8566983918629584896;
Product of total size of solve for external context (max) ;8566983918629584896;
Product of max size of solve for external context (avg) ;7.50835008E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;7508350080;
Product of max size of solve for external context (max) ;7508350080;
Product of min size of solve for external context (avg) ;1024.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;1024;
Product of min size of solve for external context (max) ;1024;
Max of nb of solve for external context (avg) ;253.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;253;
Max of nb of solve for external context (max) ;253;
Max of total size of solve for external context (avg) ;2832.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2832;
Max of total size of solve for external context (max) ;2832;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;85.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;85;
Min of nb of solve for external context (max) ;85;
Min of total size of solve for external context (avg) ;354.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;354;
Min of total size of solve for external context (max) ;354;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;1371.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1371;
Sum of nb of solve for external context (max) ;1371;
Sum of total size of solve for external context (avg) ;12329.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;12329;
Sum of total size of solve for external context (max) ;12329;
Sum of max size of solve for external context (avg) ;143.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;143;
Sum of max size of solve for external context (max) ;143;
Sum of min size of solve for external context (avg) ;20.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;20;
Sum of min size of solve for external context (max) ;20;
Average of nb of solve for external context (avg) ;171.375;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;171.375;
Average of nb of solve for external context (max) ;171.375;
Average of total size of solve for external context (avg) ;1541.125;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1541.125;
Average of total size of solve for external context (max) ;1541.125;
Average of max size of solve for external context (avg) ;17.875;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.875;
Average of max size of solve for external context (max) ;17.875;
Average of min size of solve for external context (avg) ;2.5;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.5;
Average of min size of solve for external context (max) ;2.5;
Standard deviation of nb of solve for external context (avg) ;47.58134482126372;
