;v0.3.1395e1_chain8-2_ECAI_Clique_2All
Standard deviation of nb of solve for own context (max) ;55.5;
Standard deviation of total size of solve for own context (avg) ;562.0;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;562.0;
Standard deviation of total size of solve for own context (max) ;562.0;
Standard deviation of max size of solve for own context (avg) ;7.5;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;7.5;
Standard deviation of max size of solve for own context (max) ;7.5;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;542152.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;542152;
Product of nb of solve for external context (max) ;542152;
Product of total size of solve for external context (avg) ;2.0176353E7;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;20176353;
Product of total size of solve for external context (max) ;20176353;
Product of max size of solve for external context (avg) ;714.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;714;
Product of max size of solve for external context (max) ;714;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;802.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;802;
Max of nb of solve for external context (max) ;802;
Max of total size of solve for external context (avg) ;4713.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;4713;
Max of total size of solve for external context (max) ;4713;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;676.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;676;
Min of nb of solve for external context (max) ;676;
Min of total size of solve for external context (avg) ;4281.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;4281;
Min of total size of solve for external context (max) ;4281;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;1478.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1478;
Sum of nb of solve for external context (max) ;1478;
Sum of total size of solve for external context (avg) ;8994.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;8994;
Sum of total size of solve for external context (max) ;8994;
Sum of max size of solve for external context (avg) ;55.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;55;
Sum of max size of solve for external context (max) ;55;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;739.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;739.0;
Average of nb of solve for external context (max) ;739.0;
Average of total size of solve for external context (avg) ;4497.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;4497.0;
Average of total size of solve for external context (max) ;4497.0;
Average of max size of solve for external context (avg) ;27.5;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;27.5;
Average of max size of solve for external context (max) ;27.5;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;63.0;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;63.0;
Standard deviation of nb of solve for external context (max) ;63.0;
Standard deviation of total size of solve for external context (avg) ;216.0;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;216.0;
Standard deviation of total size of solve for external context (max) ;216.0;
Standard deviation of max size of solve for external context (avg) ;6.5;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;6.5;
Standard deviation of max size of solve for external context (max) ;6.5;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;210.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;210;
Product of nb of solve for covered manif. (max) ;210;
Product of total size of solve for covered manif. (avg) ;39270.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;39270;
Product of total size of solve for covered manif. (max) ;39270;
Product of max size of solve for covered manif. (avg) ;416.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;416;
Product of max size of solve for covered manif. (max) ;416;
Product of min size of solve for covered manif. (avg) ;24.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;24;
Product of min size of solve for covered manif. (max) ;24;
Max of nb of solve for covered manif. (avg) ;15.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;15;
Max of nb of solve for covered manif. (max) ;15;
Max of total size of solve for covered manif. (avg) ;238.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;238;
Max of total size of solve for covered manif. (max) ;238;
Max of max size of solve for covered manif. (avg) ;26.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;26;
Max of max size of solve for covered manif. (max) ;26;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;14.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;14;
Min of nb of solve for covered manif. (max) ;14;
Min of total size of solve for covered manif. (avg) ;165.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;165;
Min of total size of solve for covered manif. (max) ;165;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;29.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;29;
Sum of nb of solve for covered manif. (max) ;29;
Sum of total size of solve for covered manif. (avg) ;403.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;403;
Sum of total size of solve for covered manif. (max) ;403;
Sum of max size of solve for covered manif. (avg) ;42.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;42;
Sum of max size of solve for covered manif. (max) ;42;
Sum of min size of solve for covered manif. (avg) ;11.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;11;
Sum of min size of solve for covered manif. (max) ;11;
Average of nb of solve for covered manif. (avg) ;14.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;14.5;
Average of nb of solve for covered manif. (max) ;14.5;
Average of total size of solve for covered manif. (avg) ;201.5;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;201.5;
Average of total size of solve for covered manif. (max) ;201.5;
Average of max size of solve for covered manif. (avg) ;21.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;21.0;
Average of max size of solve for covered manif. (max) ;21.0;
Average of min size of solve for covered manif. (avg) ;5.5;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;5.5;
Average of min size of solve for covered manif. (max) ;5.5;
Standard deviation of nb of solve for covered manif. (avg) ;0.5;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;0.5;
Standard deviation of nb of solve for covered manif. (max) ;0.5;
Standard deviation of total size of solve for covered manif. (avg) ;36.5;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;36.5;
Standard deviation of total size of solve for covered manif. (max) ;36.5;
Standard deviation of max size of solve for covered manif. (avg) ;5.0;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
Standard deviation of max size of solve for covered manif. (min) ;5.0;
Standard deviation of max size of solve for covered manif. (max) ;5.0;
Standard deviation of min size of solve for covered manif. (avg) ;2.5;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;2.5;
Standard deviation of min size of solve for covered manif. (max) ;2.5;
Product of nb of solve for prove manif (avg) ;49.0;
Product of nb of solve for prove manif (stddev) ;0.0;
Product of nb of solve for prove manif (min) ;49;
Product of nb of solve for prove manif (max) ;49;
Product of total size of solve for prove manif (avg) ;39342.0;
Product of total size of solve for prove manif (stddev) ;0.0;
Product of total size of solve for prove manif (min) ;39342;
