;v0.3.1395e1_chain8_Inc-CL_Circuit_8All
Min of max size of solve for own context (max) ;17;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;151.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;151;
Sum of nb of solve for own context (max) ;151;
Sum of total size of solve for own context (avg) ;1848.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;1848;
Sum of total size of solve for own context (max) ;1848;
Sum of max size of solve for own context (avg) ;227.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;227;
Sum of max size of solve for own context (max) ;227;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;18.875;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;18.875;
Average of nb of solve for own context (max) ;18.875;
Average of total size of solve for own context (avg) ;231.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;231.0;
Average of total size of solve for own context (max) ;231.0;
Average of max size of solve for own context (avg) ;28.375;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.375;
Average of max size of solve for own context (max) ;28.375;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;8.462232270506405;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;8.462232270506405;
Standard deviation of nb of solve for own context (max) ;8.462232270506405;
Standard deviation of total size of solve for own context (avg) ;139.16447104056408;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;139.16447104056408;
Standard deviation of total size of solve for own context (max) ;139.16447104056408;
Standard deviation of max size of solve for own context (avg) ;8.061288668693114;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;8.061288668693114;
Standard deviation of max size of solve for own context (max) ;8.061288668693114;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;8.466612E9;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;8466612000;
Product of nb of solve for external context (max) ;8466612000;
Product of total size of solve for external context (avg) ;8.335131101724672E16;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;83351311017246720;
Product of total size of solve for external context (max) ;83351311017246720;
Product of max size of solve for external context (avg) ;6.14319552E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6143195520;
Product of max size of solve for external context (max) ;6143195520;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;35.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;35;
Max of nb of solve for external context (max) ;35;
Max of total size of solve for external context (avg) ;323.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;323;
Max of total size of solve for external context (max) ;323;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;10.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;10;
Min of nb of solve for external context (max) ;10;
Min of total size of solve for external context (avg) ;70.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;70;
Min of total size of solve for external context (max) ;70;
Min of max size of solve for external context (avg) ;10.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;10;
Min of max size of solve for external context (max) ;10;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;153.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;153;
Sum of nb of solve for external context (max) ;153;
Sum of total size of solve for external context (avg) ;1202.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;1202;
Sum of total size of solve for external context (max) ;1202;
Sum of max size of solve for external context (avg) ;140.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;140;
Sum of max size of solve for external context (max) ;140;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;19.125;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;19.125;
Average of nb of solve for external context (max) ;19.125;
Average of total size of solve for external context (avg) ;150.25;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;150.25;
Average of total size of solve for external context (max) ;150.25;
Average of max size of solve for external context (avg) ;17.5;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.5;
Average of max size of solve for external context (max) ;17.5;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;8.550402037331343;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;8.550402037331343;
Standard deviation of nb of solve for external context (max) ;8.550402037331343;
Standard deviation of total size of solve for external context (avg) ;83.5564928656056;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;83.5564928656056;
Standard deviation of total size of solve for external context (max) ;83.5564928656056;
Standard deviation of max size of solve for external context (avg) ;5.1478150704935;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.1478150704935;
Standard deviation of max size of solve for external context (max) ;5.1478150704935;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;9.513504E7;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;95135040;
Product of nb of solve for covered manif. (max) ;95135040;
Product of total size of solve for covered manif. (avg) ;1.52778755864448E16;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;15277875586444800;
Product of total size of solve for covered manif. (max) ;15277875586444800;
Product of max size of solve for covered manif. (avg) ;8.7293952E9;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;8729395200;
Product of max size of solve for covered manif. (max) ;8729395200;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;15.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;15;
Max of nb of solve for covered manif. (max) ;15;
Max of total size of solve for covered manif. (avg) ;219.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;219;
Max of total size of solve for covered manif. (max) ;219;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;6.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;6;
Min of nb of solve for covered manif. (max) ;6;
Min of total size of solve for covered manif. (avg) ;48.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;48;
Min of total size of solve for covered manif. (max) ;48;
Min of max size of solve for covered manif. (avg) ;9.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;9;
Min of max size of solve for covered manif. (max) ;9;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;83.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;83;
Sum of nb of solve for covered manif. (max) ;83;
Sum of total size of solve for covered manif. (avg) ;925.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;925;
Sum of total size of solve for covered manif. (max) ;925;
Sum of max size of solve for covered manif. (avg) ;151.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;151;
Sum of max size of solve for covered manif. (max) ;151;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;10.375;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;10.375;
Average of nb of solve for covered manif. (max) ;10.375;
Average of total size of solve for covered manif. (avg) ;115.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;115.625;
Average of total size of solve for covered manif. (max) ;115.625;
Average of max size of solve for covered manif. (avg) ;18.875;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;18.875;
Average of max size of solve for covered manif. (max) ;18.875;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;2.912795049432761;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;2.912795049432761;
Standard deviation of nb of solve for covered manif. (max) ;2.912795049432761;
Standard deviation of total size of solve for covered manif. (avg) ;49.61334875817193;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;49.61334875817193;
Standard deviation of total size of solve for covered manif. (max) ;49.61334875817193;
