;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6All
Product of nb of solve for external context (min) ;0;
Product of nb of solve for external context (max) ;0;
Product of total size of solve for external context (avg) ;0.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;0;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;2.404512E7;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;24045120;
Product of max size of solve for external context (max) ;24045120;
Product of min size of solve for external context (avg) ;52488.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;52488;
Product of min size of solve for external context (max) ;52488;
Max of nb of solve for external context (avg) ;113.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;113;
Max of nb of solve for external context (max) ;113;
Max of total size of solve for external context (avg) ;4753.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;4753;
Max of total size of solve for external context (max) ;4753;
Max of max size of solve for external context (avg) ;88.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;88;
Max of max size of solve for external context (max) ;88;
Max of min size of solve for external context (avg) ;18.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;18;
Max of min size of solve for external context (max) ;18;
Min of nb of solve for external context (avg) ;0.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;0;
Min of nb of solve for external context (max) ;0;
Min of total size of solve for external context (avg) ;0.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;0;
Min of total size of solve for external context (max) ;0;
Min of max size of solve for external context (avg) ;-1.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;-1;
Min of max size of solve for external context (max) ;0;
Min of min size of solve for external context (avg) ;-1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;-1;
Min of min size of solve for external context (max) ;0;
Sum of nb of solve for external context (avg) ;291.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;291;
Sum of nb of solve for external context (max) ;291;
Sum of total size of solve for external context (avg) ;12340.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;12340;
Sum of total size of solve for external context (max) ;12340;
Sum of max size of solve for external context (avg) ;288.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;288;
Sum of max size of solve for external context (max) ;288;
Sum of min size of solve for external context (avg) ;61.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;61;
Sum of min size of solve for external context (max) ;61;
Average of nb of solve for external context (avg) ;48.5;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;48.5;
Average of nb of solve for external context (max) ;48.5;
Average of total size of solve for external context (avg) ;2056.6666666666665;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;2056.6666666666665;
Average of total size of solve for external context (max) ;2056.6666666666665;
Average of max size of solve for external context (avg) ;48.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;48.0;
Average of max size of solve for external context (max) ;48.0;
Average of min size of solve for external context (avg) ;10.166666666666666;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;10.166666666666666;
Average of min size of solve for external context (max) ;10.166666666666666;
Standard deviation of nb of solve for external context (avg) ;44.34241761564202;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;44.34241761564202;
Standard deviation of nb of solve for external context (max) ;44.34241761564202;
Standard deviation of total size of solve for external context (avg) ;1899.8825987120595;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1899.8825987120595;
Standard deviation of total size of solve for external context (max) ;1899.8825987120595;
Standard deviation of max size of solve for external context (avg) ;37.532208390483326;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;37.532208390483326;
Standard deviation of max size of solve for external context (max) ;37.532208390483326;
Standard deviation of min size of solve for external context (avg) ;8.513061859414757;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;8.513061859414757;
Standard deviation of min size of solve for external context (max) ;8.513061859414757;
Product of nb of solve for covered manif. (avg) ;0.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;0;
Product of nb of solve for covered manif. (max) ;0;
Product of total size of solve for covered manif. (avg) ;0.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;0;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;2.1337344E7;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;21337344;
Product of max size of solve for covered manif. (max) ;21337344;
Product of min size of solve for covered manif. (avg) ;518400.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;518400;
Product of min size of solve for covered manif. (max) ;518400;
Max of nb of solve for covered manif. (avg) ;134.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;134;
Max of nb of solve for covered manif. (max) ;134;
Max of total size of solve for covered manif. (avg) ;5884.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;5884;
Max of total size of solve for covered manif. (max) ;5884;
Max of max size of solve for covered manif. (avg) ;84.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;84;
Max of max size of solve for covered manif. (max) ;84;
Max of min size of solve for covered manif. (avg) ;30.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;30;
Max of min size of solve for covered manif. (max) ;30;
Min of nb of solve for covered manif. (avg) ;0.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;0;
Min of nb of solve for covered manif. (max) ;0;
Min of total size of solve for covered manif. (avg) ;0.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;0;
Min of total size of solve for covered manif. (max) ;0;
Min of max size of solve for covered manif. (avg) ;-1.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;-1;
Min of max size of solve for covered manif. (max) ;0;
Min of min size of solve for covered manif. (avg) ;-1.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;-1;
Min of min size of solve for covered manif. (max) ;0;
Sum of nb of solve for covered manif. (avg) ;342.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;342;
Sum of nb of solve for covered manif. (max) ;342;
Sum of total size of solve for covered manif. (avg) ;15956.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;15956;
Sum of total size of solve for covered manif. (max) ;15956;
Sum of max size of solve for covered manif. (avg) ;286.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;286;
Sum of max size of solve for covered manif. (max) ;286;
Sum of min size of solve for covered manif. (avg) ;106.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;106;
Sum of min size of solve for covered manif. (max) ;106;
Average of nb of solve for covered manif. (avg) ;57.0;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;57.0;
Average of nb of solve for covered manif. (max) ;57.0;
Average of total size of solve for covered manif. (avg) ;2659.3333333333335;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;2659.3333333333335;
Average of total size of solve for covered manif. (max) ;2659.3333333333335;
Average of max size of solve for covered manif. (avg) ;47.666666666666664;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;47.666666666666664;
Average of max size of solve for covered manif. (max) ;47.666666666666664;
