;v0.3.13e10_exEcai-3ag_Inc_Ligne_3Summ
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;405;
Total size of {Propose} received (max) ;405;
Global Max size of {Acknowledge confirmation} received (avg) ;34.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;34;
Global Max size of {Acknowledge confirmation} received (max) ;34;
Nb of {Acknowledge confirmation} received (avg) ;11.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;11;
Nb of {Acknowledge confirmation} received (max) ;11;
Total size of {Acknowledge confirmation} received (avg) ;264.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;264;
Total size of {Acknowledge confirmation} received (max) ;264;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;1.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;1;
Nb of {Withdraw incomplete} received (max) ;1;
Total size of {Withdraw incomplete} received (avg) ;3.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;3;
Total size of {Withdraw incomplete} received (max) ;3;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;5.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;5;
Nb of {Argue} received (max) ;5;
Total size of {Argue} received (avg) ;94.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;94;
Total size of {Argue} received (max) ;94;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;8.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;8;
Nb of {End of local conversation} received (max) ;8;
