;e1_chain7_Inc-CL_Ligne_0All
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;70.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;70;
Sum of nb of solve for extended hyp (max) ;70;
Sum of total size of solve for extended hyp (avg) ;5584.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;5584;
Sum of total size of solve for extended hyp (max) ;5584;
Sum of max size of solve for extended hyp (avg) ;881.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;881;
Sum of max size of solve for extended hyp (max) ;881;
Sum of min size of solve for extended hyp (avg) ;124.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;124;
Sum of min size of solve for extended hyp (max) ;124;
Average of nb of solve for extended hyp (avg) ;8.75;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;8.75;
Average of nb of solve for extended hyp (max) ;8.75;
Average of total size of solve for extended hyp (avg) ;698.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;698.0;
Average of total size of solve for extended hyp (max) ;698.0;
Average of max size of solve for extended hyp (avg) ;110.125;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;110.125;
Average of max size of solve for extended hyp (max) ;110.125;
Average of min size of solve for extended hyp (avg) ;15.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;15.5;
Average of min size of solve for extended hyp (max) ;15.5;
Standard deviation of nb of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of nb of solve for extended hyp (max) ;3.031088913245535;
Standard deviation of total size of solve for extended hyp (avg) ;340.5253294543594;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;340.5253294543594;
Standard deviation of total size of solve for extended hyp (max) ;340.5253294543594;
Standard deviation of max size of solve for extended hyp (avg) ;27.710275621148195;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;27.710275621148195;
Standard deviation of max size of solve for extended hyp (max) ;27.710275621148195;
Standard deviation of min size of solve for extended hyp (avg) ;11.258330249197702;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;11.258330249197702;
Standard deviation of min size of solve for extended hyp (max) ;11.258330249197702;
Product of nb of solve for own context (avg) ;4.29187030272E13;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;42918703027200;
Product of nb of solve for own context (max) ;42918703027200;
Product of total size of solve for own context (avg) ;1.49255935214031898E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1492559352140318932;
Product of total size of solve for own context (max) ;1492559352140318932;
Product of max size of solve for own context (avg) ;3.30264363744E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;330264363744;
Product of max size of solve for own context (max) ;330264363744;
Product of min size of solve for own context (avg) ;52488.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;52488;
Product of min size of solve for own context (max) ;52488;
Max of nb of solve for own context (avg) ;270.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;270;
Max of nb of solve for own context (max) ;270;
Max of total size of solve for own context (avg) ;3757.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;3757;
Max of total size of solve for own context (max) ;3757;
Max of max size of solve for own context (avg) ;41.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;41;
Max of max size of solve for own context (max) ;41;
Max of min size of solve for own context (avg) ;9.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;9;
Max of min size of solve for own context (max) ;9;
Min of nb of solve for own context (avg) ;7.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;7;
Min of nb of solve for own context (max) ;7;
Min of total size of solve for own context (avg) ;117.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;117;
Min of total size of solve for own context (max) ;117;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;3.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;3;
Min of min size of solve for own context (max) ;3;
Sum of nb of solve for own context (avg) ;699.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;699;
Sum of nb of solve for own context (max) ;699;
Sum of total size of solve for own context (avg) ;11293.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;11293;
Sum of total size of solve for own context (max) ;11293;
Sum of max size of solve for own context (avg) ;225.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;225;
Sum of max size of solve for own context (max) ;225;
Sum of min size of solve for own context (avg) ;35.0;
Sum of min size of solve for own context (stddev) ;0.0;
