;v0.3.11e1_exEcai-2ag_Inc_Clique_2Summ
Nb of {Accept} sent (min) ;0;
Nb of {Accept} sent (max) ;0;
Total size of {Accept} sent (avg) ;15.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;15;
Total size of {Accept} sent (max) ;15;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;2.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;2;
Nb of {End of local conversation} sent (max) ;2;
Total size of {End of local conversation} sent (avg) ;20.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;20;
Total size of {End of local conversation} sent (max) ;20;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;2.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;2;
Nb of {New neighbour} received (max) ;2;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;2.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;2;
Nb of {Start} received (max) ;2;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;0.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;0;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-1.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-1;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;0.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;0;
Nb of {Accept Request} received (max) ;0;
Total size of {Accept Request} received (avg) ;9.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;9;
Total size of {Accept Request} received (max) ;9;
Global Max size of {Check Context} received (avg) ;53.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;53;
Global Max size of {Check Context} received (max) ;53;
Nb of {Check Context} received (avg) ;2.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;2;
Nb of {Check Context} received (max) ;2;
Total size of {Check Context} received (avg) ;87.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;87;
Total size of {Check Context} received (max) ;87;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;0.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;0;
Nb of {Coherence counter-example} received (max) ;0;
Total size of {Coherence counter-example} received (avg) ;1.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;1;
Total size of {Coherence counter-example} received (max) ;1;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;3.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;3;
Nb of {Acknowledge} received (max) ;3;
Total size of {Acknowledge} received (avg) ;6.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;6;
Total size of {Acknowledge} received (max) ;6;
Global Max size of {Confirm context} received (avg) ;20.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;20;
Global Max size of {Confirm context} received (max) ;20;
Nb of {Confirm context} received (avg) ;4.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;4;
Nb of {Confirm context} received (max) ;4;
Total size of {Confirm context} received (avg) ;46.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;46;
Total size of {Confirm context} received (max) ;46;
Global Max size of {Deny} received (avg) ;22.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;22;
Global Max size of {Deny} received (max) ;22;
Nb of {Deny} received (avg) ;0.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;0;
Nb of {Deny} received (max) ;0;
Total size of {Deny} received (avg) ;21.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;21;
Total size of {Deny} received (max) ;21;
Global Max size of {Propose} received (avg) ;33.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;33;
Global Max size of {Propose} received (max) ;33;
Nb of {Propose} received (avg) ;4.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;4;
Nb of {Propose} received (max) ;4;
Total size of {Propose} received (avg) ;79.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;79;
Total size of {Propose} received (max) ;79;
Global Max size of {Acknowledge confirmation} received (avg) ;24.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;24;
Global Max size of {Acknowledge confirmation} received (max) ;24;
Nb of {Acknowledge confirmation} received (avg) ;4.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;4;
Nb of {Acknowledge confirmation} received (max) ;4;
Total size of {Acknowledge confirmation} received (avg) ;62.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;62;
Total size of {Acknowledge confirmation} received (max) ;62;
Global Max size of {Withdraw} received (avg) ;2.0;
Global Max size of {Withdraw} received (stddev) ;0.0;
Global Max size of {Withdraw} received (min) ;2;
