;v0.3.1395e1_chain8_ECAI_Circuit_8All
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;288.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;288;
Max of nb of solve for own context (max) ;288;
Max of total size of solve for own context (avg) ;3406.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;3406;
Max of total size of solve for own context (max) ;3406;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;101.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;101;
Min of nb of solve for own context (max) ;101;
Min of total size of solve for own context (avg) ;778.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;778;
Min of total size of solve for own context (max) ;778;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1232.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1232;
Sum of nb of solve for own context (max) ;1232;
Sum of total size of solve for own context (avg) ;10837.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;10837;
Sum of total size of solve for own context (max) ;10837;
Sum of max size of solve for own context (avg) ;231.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;231;
Sum of max size of solve for own context (max) ;231;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;154.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;154.0;
Average of nb of solve for own context (max) ;154.0;
Average of total size of solve for own context (avg) ;1354.625;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1354.625;
Average of total size of solve for own context (max) ;1354.625;
Average of max size of solve for own context (avg) ;28.875;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.875;
Average of max size of solve for own context (max) ;28.875;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;59.30430001273095;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;59.30430001273095;
Standard deviation of nb of solve for own context (max) ;59.30430001273095;
Standard deviation of total size of solve for own context (avg) ;821.7505609216217;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;821.7505609216217;
Standard deviation of total size of solve for own context (max) ;821.7505609216217;
Standard deviation of max size of solve for own context (avg) ;7.92839044194974;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;7.92839044194974;
Standard deviation of max size of solve for own context (max) ;7.92839044194974;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;-7.6556876732022456E18;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;-7655687673202245632;
Product of nb of solve for external context (max) ;0;
Product of total size of solve for external context (avg) ;-4.6616209637565932E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-4661620963756593200;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;1.6801991514E10;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;16801991514;
Product of max size of solve for external context (max) ;16801991514;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;540.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;540;
Max of nb of solve for external context (max) ;540;
Max of total size of solve for external context (avg) ;3389.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;3389;
Max of total size of solve for external context (max) ;3389;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;160.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;160;
Min of nb of solve for external context (max) ;160;
Min of total size of solve for external context (avg) ;654.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;654;
Min of total size of solve for external context (max) ;654;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;2434.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;2434;
Sum of nb of solve for external context (max) ;2434;
Sum of total size of solve for external context (avg) ;12923.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;12923;
Sum of total size of solve for external context (max) ;12923;
Sum of max size of solve for external context (avg) ;161.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;161;
Sum of max size of solve for external context (max) ;161;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;304.25;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;304.25;
Average of nb of solve for external context (max) ;304.25;
Average of total size of solve for external context (avg) ;1615.375;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1615.375;
Average of total size of solve for external context (max) ;1615.375;
Average of max size of solve for external context (avg) ;20.125;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;20.125;
Average of max size of solve for external context (max) ;20.125;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;146.31878724210367;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;146.31878724210367;
Standard deviation of nb of solve for external context (max) ;146.31878724210367;
Standard deviation of total size of solve for external context (avg) ;1011.5998390544554;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1011.5998390544554;
Standard deviation of total size of solve for external context (max) ;1011.5998390544554;
Standard deviation of max size of solve for external context (avg) ;6.734936896512097;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;6.734936896512097;
Standard deviation of max size of solve for external context (max) ;6.734936896512097;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;1.974473254656E13;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;19744732546560;
Product of nb of solve for covered manif. (max) ;19744732546560;
Product of total size of solve for covered manif. (avg) ;2.4305979210777119E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;2430597921077711744;
Product of total size of solve for covered manif. (max) ;2430597921077711744;
Product of max size of solve for covered manif. (avg) ;5.92E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;59200000000;
Product of max size of solve for covered manif. (max) ;59200000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;64.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;64;
Max of nb of solve for covered manif. (max) ;64;
Max of total size of solve for covered manif. (avg) ;1235.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1235;
Max of total size of solve for covered manif. (max) ;1235;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;34.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;34;
Min of nb of solve for covered manif. (max) ;34;
Min of total size of solve for covered manif. (avg) ;392.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;392;
Min of total size of solve for covered manif. (max) ;392;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;377.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;377;
Sum of nb of solve for covered manif. (max) ;377;
Sum of total size of solve for covered manif. (avg) ;5148.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;5148;
Sum of total size of solve for covered manif. (max) ;5148;
Sum of max size of solve for covered manif. (avg) ;185.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;185;
Sum of max size of solve for covered manif. (max) ;185;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
