,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,5,1115,60,52,194,0,0,15,48,43,20,62,0,0,5,16,4,8,34,0,0,3,8,6,9,37,0,0,3,9
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,5,1114,63,52,195,0,0,17,47,45,21,64,0,0,6,17,5,8,34,0,0,3,8,5,8,34,0,0,3,8
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,5,1116,56,52,191,0,0,12,48,39,20,61,0,0,5,16,4,8,33,0,0,2,8,4,9,36,0,0,2,9
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,5,1110,65,52,197,0,0,22,47,40,21,65,0,0,7,17,7,8,35,0,0,5,8,7,8,35,0,0,5,8
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,5,1113,61,52,195,0,0,19,47,44,21,64,0,0,6,17,5,8,34,0,0,4,8,5,8,34,0,0,4,8
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,5,1112,56,52,191,0,0,13,48,39,20,61,0,0,5,16,4,8,33,0,0,2,8,4,9,36,0,0,2,9
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,600725,19596,69843,880874,0,0,187,29551,7843,52259,571935,0,0,58,15474,1433,1843,11763,0,0,20,443,1661,3622,74027,0,0,26,730
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star,0,0,600537,921,7574,34304,0,0,29,4083,809,7466,33630,0,0,15,3975,14,1,4,0,0,2,1,809,7466,33630,0,0,15,3975
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600775,4643,27215,270335,0,0,34,4338,1286,10286,108736,0,0,15,2202,14,27,110,0,0,3,8,1161,10286,108736,0,0,4,326
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600899,16599,59657,539025,0,0,41,16681,16350,59360,537372,0,0,21,16472,4,8,34,0,0,4,7,13,33,127,0,0,4,11
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,600457,14335,387218,2648199,0,0,34,4084,7885,179495,1182967,0,0,16,2527,41,60,395,0,0,3,17,7885,179495,1182967,0,0,4,1301
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-4,0,0,600360,8463,138161,762827,0,0,46,1981,2116,44581,246953,0,0,21,784,618,2011,10153,0,0,5,36,1259,25836,136222,0,0,5,296
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-5,0,0,600655,10572,34317,445174,0,0,36,3763,5916,13748,196585,0,0,16,1439,98,127,673,0,0,4,36,1294,9091,132462,0,0,4,198
